Number,Time,isPrime
242,1,false
315,1,false
528,0,false
557,1,true
372,0,false
815,2,false
477,0,false
458,0,false
573,0,false
332,0,false
332,0,false
297,0,false
118,0,false
415,11,false
877,0,true
124,0,false
811,0,true
983,1,true
435,0,false
371,0,false
548,0,false
647,0,true
737,0,false
615,0,false
261,1,false
349,0,true
456,0,false
346,0,false
921,0,false
521,0,true
648,0,false
568,0,false
774,1,false
738,0,false
532,0,false
875,0,false
372,0,false
187,0,false
879,1,false
213,0,false
2369,0,false
9547,2,true
8356,2,false
3112,0,false
3668,1,false
8838,3,false
2683,0,true
6344,2,false
5713,2,false
3937,1,false
5132,1,false
6233,2,false
8379,1,false
2289,0,false
4277,12,false
8495,3,false
6595,1,false
6316,1,false
9293,2,true
3527,0,true
5149,1,false
2228,0,false
7755,1,false
4866,2,false
6865,1,false
4413,1,false
3442,1,false
8326,1,false
4879,1,false
7177,1,true
2477,1,true
1878,0,false
3959,1,false
7629,2,false
7135,1,false
2961,0,false
9586,1,false
6952,1,false
5811,1,false
4617,1,false
15895,2,false
36279,5,false
31821,2,false
96788,5,false
19998,1,false
36449,2,false
16126,1,false
25752,1,false
52378,2,false
82786,5,false
69553,4,false
22581,1,false
82638,4,false
76589,4,false
71469,4,false
29948,1,false
22637,1,true
33496,2,false
53711,3,false
61655,4,false
37232,1,false
99353,5,false
84436,4,false
64649,3,false
22969,2,false
96235,16,false
78936,13,false
44647,6,true
31984,9,false
55856,7,false
38731,3,false
51441,2,false
57515,3,false
67916,4,false
37547,1,true
56781,3,false
82225,4,false
83249,4,false
36541,2,true
54477,3,false
241647,13,false
382674,24,false
799468,100,false
647973,33,false
447562,23,false
132929,6,true
176372,9,false
859784,57,false
649272,123,false
811682,107,false
243968,12,false
743913,38,false
883767,43,false
983926,49,false
726264,35,false
938963,46,true
774297,38,false
736461,35,false
614933,31,false
296441,14,true
659575,32,false
314893,15,false
338176,16,false
766651,38,true
115663,6,true
373173,18,false
858691,43,true
659866,32,false
532253,26,false
989357,48,false
624582,32,false
693853,33,false
851735,42,false
722712,36,false
716276,36,false
952233,47,false
164232,8,false
141685,7,false
616741,30,true
423356,20,false
1889281,99,false
5791287,285,false
6173121,304,false
8379842,436,false
4486773,233,false
2117541,106,false
3951657,195,false
2335988,116,false
3816176,190,false
9884184,504,false
2849557,140,false
7245136,359,false
5134412,268,false
3741366,192,false
6964396,364,false
5592661,288,false
4128521,212,true
8346322,413,false
4556548,226,false
6239966,311,false
4555666,239,false
9489341,470,false
1253531,61,false
1575666,78,false
7717673,392,false
6597657,325,false
7535473,374,false
5393714,272,false
3574479,176,false
7475636,368,false
1396852,69,false
6464398,323,false
4547816,226,false
4987526,248,false
4555111,225,false
5198869,255,false
1847347,92,true
7578817,391,true
7499373,393,false
1893477,99,false
43364698,2352,false
38536727,1982,true
69179621,3621,false
88337116,4410,false
94311831,4740,false
43165557,2154,false
52638418,2633,false
28692219,1435,false
23689859,1175,false
63236877,3147,false
91946481,4635,false
93292879,4669,false
11275567,562,true
75866954,3825,false
89552123,4476,true
71773917,3591,false
51254983,2580,false
58287219,2919,false
65753524,3297,false
65314223,3260,false
44168584,2195,false
91651985,4556,false
95775753,4774,false
21925341,1090,false
53368434,2663,false
59322865,2942,false
56519332,2812,false
75829439,3785,false
18973883,943,false
89218114,4485,false
69461285,3454,false
47326323,2357,false
16223356,813,false
51442164,2572,false
83477855,4154,false
12588164,632,false
26193334,1305,false
39881525,1975,false
13219622,660,false
67173151,3367,false
189264928,9491,false
676151836,33827,false
157659891,7849,false
213138946,10604,false
646853833,32331,true
986212116,49386,false
873911317,43914,false
485377156,24292,false
621849941,31108,false
126359286,6297,false
487937235,24558,false
849218315,42484,false
531499733,26656,false
296683486,15053,false
679397778,34018,false
818129881,41061,false
351881696,17581,false
497684659,24845,false
757574955,37762,false
417337855,20857,false
819619141,40801,false
341631775,17104,false
423761457,21155,false
582982533,29037,false
872753179,43546,false
775564723,38597,false
295627193,14695,false
443599166,22173,false
671946491,33513,false
887714473,44319,true
294871591,14759,false
744197583,37125,false
755337317,37823,false
547459832,27321,false
234746353,11712,false
212523687,10567,false
949842273,47531,false
133432199,6659,false
992666744,49561,false
954539774,47576,false
