Number,Time
934428374838,1
1019477102065,0
601295217321,0
945976335620,0
631073661402,0
3175506274014,0
2243794194450,0
4228110744147,0
3000815737352,0
3483139814317,0
14299104145210,0
14874095210812,0
9505897802290,0
16436364634356,0
9155115025601,1
66557563359590,0
41017675454420,0
40551539891506,0
49443361944923,1
61280552170012,0
168775372529068,0
164329419254613,0
263198575261651,0
152124153514026,0
235283939980413,0
1050074620593691,0
1097474897513814,0
1125138274742567,0
684679112975841,0
945095768759599,1
3288966474840732,0
2544061721236002,0
2576842548516665,0
3719379616531006,0
2580921428660441,0
10653005029735092,0
9757809534627950,0
11392508920853162,0
9998013226527065,0
15245557306317189,0
36901830472208328,0
53127010348900914,0
46198398109055682,0
47373795222973547,0
53568089783920108,0
278272325346284406,0
231117686549608520,0
231431987028615117,1
204842130458752692,0
218910917530683804,0
689835872771047675,0
856805280460688691,0
835939175966356297,0
870238087448835775,0
846927453495218559,0
4324919482229332284,0
2533968444507719278,0
2801847395449520606,0
2534271137843848266,0
3630773520335273822,0
17464617117162898667,1
10208671639292563406,0
11163453669704911862,0
10687863272178092507,0
10514105935366354301,1
53417573263075883353,1
45310126145485476181,0
65791771556685250730,0
43329420202877884972,0
70172989996806846288,0
176854199069697686694,0
262971849941871542451,0
184500467967863042998,0
285515230004871803370,0
235888525692455621412,0
1008621568350011453706,0
741765938697479343362,0
679477317219168348033,0
593546832219755434638,0
787333096252026102818,0
2515859639327275650118,0
4576956239655510576274,0
4491047670898918152849,0
3133241393041820087471,0
3574940007533903401744,0
11369912858983736749078,0
13060365943012154310799,0
12575355613699269607837,0
17017143695359286148289,0
18268489530953037930337,0
59172144034813279639892,0
50447038899519080285447,0
67245427955169092455940,0
46707165252171388415352,0
44554396663585161996246,0
228158705116656879175240,0
162627973019875062328751,0
298747420854135118314230,0
215082086376577318347179,1
299883039863280615500209,0
1017459152232099754019575,0
1077270834728469811578847,1
684101758826327815301222,0
1027543038329025164395691,0
1197710169297472717475389,0
4660707472618038789621509,0
4058152597900182023598004,0
3213537033122292232944139,0
3823310262348386391749589,0
3586631582384647725891805,0
10723293018078819467613774,0
9856507470973586766330658,0
12927343775740486196884535,0
15709963674390718351768537,0
11343255204489154115658655,0
56964032672311705924710667,0
49886037633162441389152257,0
55092503883410502945196847,0
42493421255604709924605760,0
62595992180710144538978290,0
293754737111760641233148244,0
231065063206046293390293626,0
155759477721575193609797096,0
160115907508311019051124981,0
235643982955806504653936686,0
1223118628799164156550835814,0
851101943690539472991570293,0
947979784506966968125809920,0
1142193495987117844346014269,0
767735596508892010031314920,0
4245195482972534026124837979,0
4693495054835994907563777762,0
2906410429690439289408230606,0
4317464594662558318620922559,1
2735526712457488869374742719,0
10884751577371358491708597257,0
16062536561994643447971293676,0
15757072494492166012106613680,0
11986405022890551111178167586,0
16851913138854224695807729531,0
55486274576817832119638488455,0
40044022123184650623847647377,0
67445180303062723484113398147,0
76857194934963998576571405321,0
65416596838318240065326615663,0
220897981814815187744710171593,0
257545423172839979140514027302,0
296893815492273099850015597780,0
178560788942700015891076335163,2
208772282815350702693737088462,0
673201315038733450011033754123,0
804727501121943062252389755872,0
1127102618159591243014994346551,1
1041427744890087926529926473163,2
1242188292312206005081257779857,0
