Number,Time
975727224349,4
921506972801,1
1013993288909,1
998188601689,1
1087422842647,1
3417141389957,1
3149610746981,1
3154753294619,0
2638115169773,0
3327344374183,0
12688341490243,1
16781248012189,0
15430690472507,1
9160039339951,0
13046753372123,1
69315628217749,1
51448805633471,0
37657899716237,1
35508372180241,1
52255279731797,0
262630797255793,1
161965683819481,1
271122149420443,1
229866408661189,1
168581315480143,1
948228747566831,1
654357506016989,1
1103797771050167,1
933138000616439,1
1085749204638463,1
2925022763079101,1
4427526963680371,1
3524018228293349,1
3433321967453471,1
3389441548497457,1
18010243608327689,1
13132451895308027,1
11185041199393111,1
13277944843109059,1
11006737672232317,1
45521044812172913,1
39970342534067317,1
49962830822834029,0
58287148516041937,1
53776544991110351,1
213911594821088833,1
202786684296025481,2
270776627671252949,1
247987686923114111,1
187201197491404667,1
605741659297580077,1
1085367443545114973,2
889258708417150361,1
745734795023953811,2
773029443751726409,1
3087237996511334933,1
2590412900818925659,1
2637958091479543771,2
3700142048739243511,2
3703256806516301179,2
12730719370453778839,2
16541431568556578129,2
14768994956415532097,1
10969214743339881341,1
10622998536291134839,2
63355376372424212389,2
72822442875010228459,1
39564766916957179207,1
50836471250599302773,1
41538940984740277391,1
257300686320975184627,1
156084016219706704277,1
149996184766018231031,1
198517017655913082859,1
162504885900685371809,1
1123324239295067179831,0
918586749848578374719,1
675104132607833311541,1
788627795823353639761,1
909771388263507553747,1
3004606103606993839517,1
3694545875981081959157,1
2687331826071806580083,1
3150829430243392939763,0
2479797667536882713077,1
12037870529298973424831,0
17568037036220566344061,1
15899581494142419159101,1
14136179440101605569679,1
10774493639473148092447,1
61271370939008506873307,2
41281907881094284303843,1
58824050349719887771681,2
73269961824103017427547,1
46053251214619991023961,1
283889779959446890042369,1
175818588705008001522641,1
212008597430426735460581,1
185028482400270853459477,1
221414627952247783349917,1
675738217617083968327811,1
712934233984706229222953,1
746288652743996691706823,1
1044970416340664084274793,1
1176437710866258856220591,1
4056770201069419943273617,2
4443452520746391730027291,1
3552954511806335090716033,1
4165069785137406559556029,1
4741787942884754528762603,1
17023549404908320592362949,2
11100683809039113168196987,1
16085990763928807603691531,1
12254384079210195297686869,2
10396610660110429570740959,1
65940842460703899791263423,1
61670976043525196593060757,1
43293055219279657597176647,2
42457609872817919450073343,1
63787246082502714441678487,1
301227893516688162224430353,2
259172617746231907890494407,2
205228273581807996846469261,1
237817078773498851597917781,1
216369601217630618239486489,2
1098944161894959682381931927,1
888659711602479949764432133,2
667238365723164409808875343,2
1055512310188244123885056507,1
792969256396569489997520591,2
3398478392193754719469035049,2
2694272130443873082458917231,1
3268633209131256914330302681,1
3541698802907737218083228197,1
4131712405844450696598547633,1
14567997460771399479642943969,1
9966481121262428557700648891,2
15464524389438265560574291027,1
13693452361159872990717032987,2
19700579633845770262301365483,2
56134059368639609103399138323,2
42422370840482283475834316357,2
72650645529270775278023787553,2
73017516731670106938452875483,2
69063234220201835342033908439,2
213240686417995029954090732037,1
272722576172826942711236838823,2
257251017338714962759046724151,2
312072006500754450180779440967,1
273853261331913098799528500141,1
1101228633447438752637592858649,2
811132353929338879154893785359,2
773597811643090867436894871221,2
995175098463163920723043135501,2
808701066764846533099872372683,3
