Number,NumberR,Time
1933,773,1
1663,109,0
1109,211,1
4751,739,0
1423,397,0
4817,431,0
2141,491,0
1451,113,0
1867,863,1
2557,673,0
7451,569,1
4003,283,0
2267,107,0
6637,223,0
7547,449,0
2677,191,1
2341,677,0
2557,137,0
1609,127,0
2687,263,0
6047,127,0
2311,149,0
2477,349,0
1879,401,0
1237,113,0
2843,229,0
5953,409,0
1129,251,0
2617,127,0
7949,433,0
3709,101,0
5743,241,0
1831,503,0
1453,523,0
2179,157,0
2887,929,1
2017,919,0
1979,251,0
1901,151,0
1021,977,0
3319,983,0
4297,467,0
8707,769,0
1049,569,0
3221,109,0
7823,311,0
8837,877,0
3833,271,0
3023,157,0
1493,401,0
3433,233,0
2591,179,0
1373,293,0
3119,449,0
2081,467,0
1723,691,0
1709,383,0
1303,347,0
8167,383,0
9109,157,0
1543,269,0
2473,491,0
9941,569,0
5171,137,0
5843,127,0
7789,439,0
1663,607,0
7211,929,1
1877,157,0
6451,229,0
50551,101,0
50551,2003,1
67547,139,0
67547,3821,1
24473,103,0
24473,2521,1
81637,269,0
81637,4157,1
51419,797,0
51419,3833,1
20477,821,0
20477,5273,2
53993,241,0
53993,1787,1
51043,709,0
51043,2843,1
27017,103,0
27017,2683,1
95467,883,0
95467,2687,0
95633,457,0
95633,3929,1
79043,541,0
79043,1237,0
39181,313,1
39181,9343,2
21317,103,0
21317,4919,0
30469,199,0
30469,1667,0
84463,191,0
84463,4831,1
13151,151,0
13151,6007,1
53353,419,0
53353,1103,0
52627,409,0
52627,1021,0
51131,487,0
51131,7309,1
63907,599,1
63907,1321,0
75269,409,0
75269,1093,0
31237,251,0
31237,3181,0
51349,227,0
51349,6911,1
11909,167,0
11909,1553,0
39791,127,0
39791,2819,0
28927,109,0
28927,1811,0
14537,521,0
14537,6353,1
31541,173,0
31541,3583,0
13763,173,0
13763,5039,1
29311,101,0
29311,1723,0
22013,373,0
22013,4093,1
59509,461,0
59509,1493,0
25759,587,0
25759,1163,0
12757,233,0
12757,1721,0
91309,211,0
91309,1847,1
13037,137,0
13037,1613,0
50023,293,0
50023,9887,1
54013,709,0
54013,2347,1
96149,353,0
96149,2719,1
15473,101,0
15473,1289,0
75931,739,0
75931,7499,3
24623,853,0
24623,3593,0
96587,937,0
96587,1607,0
41521,821,0
41521,1171,0
71479,257,0
71479,2833,0
86287,241,0
86287,2851,0
10211,839,0
10211,7013,1
11311,571,0
11311,2791,1
71663,487,0
71663,6763,1
16057,887,0
16057,7039,1
13309,509,0
13309,2693,0
11813,151,0
11813,5417,1
37879,691,0
