Bit_size,Time
852762376540,142
964360916505,143
727104727139,110
622508297277,88
729257452652,95
3041931476370,238
3805768376841,272
4279608974365,292
3441832391205,248
2792029116653,248
12092939058870,560
9335199566270,470
13582243796503,582
11534687992219,535
12958166003656,584
50151046003605,1245
45805307208256,1216
54224078232772,1327
60119940601576,1410
41124654967575,1145
166254036430405,2473
258574991000122,3096
185055405307043,2688
207403683639688,2744
217297219544933,2784
1035486803096765,6320
965669837833989,6118
674662037054523,5301
603940530887754,4922
1030306533259835,6292
3018092130570746,10987
3262089205320377,11389
3105530743627667,11173
3402533907403901,11701
3876014604043372,12445
10565554237276875,20751
13595808324312647,23521
9438203896125288,19576
9997286659117209,20144
17973481815915704,27120
36499567529531088,39124
41943442387644744,41578
63474291618261681,51238
61410981502840489,50410
61673850527194938,50461
163771599515453765,82891
181102520800123993,86694
246500551768291644,101205
232744052717381038,98466
187715278227848223,88729
