Number,Time
98044,1
43972,0
67728,0
38760,0
62270,0
16350,1
28950,0
71861,1
52955,0
52631,0
47902,0
62501,0
47058,0
94700,0
51087,0
74450,0
73924,0
25744,0
30909,1
22828,1
11383,0
73134,0
49615,0
31999,0
69815,0
22947,0
24866,0
26592,0
12651,0
82674,1
13457,0
43816,0
66051,0
34471,0
12147,0
12918,0
17277,0
94492,1
90932,1
81789,0
37389,1
88493,1
49329,0
19825,0
86478,0
64766,0
74888,0
17994,0
73169,0
71401,2
18003,0
36777,0
56288,0
77399,0
76602,0
88867,0
67747,1
52114,0
86631,0
63585,0
45898,0
69859,0
21162,0
43213,0
20666,0
15584,0
57592,0
68757,0
56314,0
18311,0
441629,0
753919,0
948502,0
518118,0
990193,0
339312,0
462138,3
537430,1
211654,0
769433,0
442138,0
336864,0
204713,0
572210,0
109234,0
932762,0
215982,0
373014,0
909986,0
902092,0
228300,0
273350,1
590281,0
775167,0
827128,0
855269,0
441443,0
934312,2
259183,0
506645,0
988871,1
977650,0
917348,0
736426,0
197008,0
996487,1
273631,1
886686,0
174247,0
266347,0
183212,0
348086,0
235201,0
997469,1
667638,1
280283,0
698309,1
706636,0
838542,0
137624,1
770752,2
902933,1
557983,1
754122,0
567014,0
610722,0
767041,1
644764,0
170522,0
995459,0
381865,0
839761,0
923285,0
185381,0
902920,0
563690,0
687686,0
857963,0
703297,0
183403,0
4001610,0
6200906,1
4088528,1
2548744,1
6538155,1
4056712,1
2143583,0
9175087,1
1270765,0
6547391,1
1446582,0
3656734,1
1499997,1
5958191,0
5057820,0
8962631,0
2726769,1
9780046,1
6808118,1
7169830,1
3553918,1
7884971,1
1809565,1
9742553,1
2302562,0
2722385,0
1722058,0
2980197,1
9516903,1
6709924,1
2279785,0
3819093,0
1303554,1
4457265,1
1062589,1
4191069,4
9002948,1
2251364,1
8140098,10
6669365,2
3316850,1
5371766,1
4096156,1
5941526,1
4396669,1
7227171,1
5127465,1
6823442,0
6782060,1
9969747,1
3824282,0
9199852,2
7774667,1
3878337,1
