Number,Time
31793,1
29063,3
53003,0
17011,0
16069,0
18251,0
56101,0
21061,0
23747,1
10789,0
44273,1
33997,0
24359,0
32057,0
22861,0
97967,0
21121,0
56123,0
77687,1
19073,0
16183,0
40559,1
26053,0
87671,0
84697,2
48239,1
21013,0
28069,0
41203,0
64033,0
78229,9
17539,0
64109,0
26801,1
93307,0
18773,0
18341,0
98321,0
23369,0
24077,0
16319,0
51361,0
18089,0
24763,0
29633,0
79589,0
61261,0
87013,0
51631,0
16187,0
15937,0
36551,0
72727,0
10223,0
93251,2
23801,0
95617,0
57587,0
78167,0
46819,0
23753,0
59119,0
33287,1
63913,0
88423,0
10211,0
60083,0
87613,0
14009,0
59791,0
247601,0
105527,0
779927,0
788033,0
529349,0
229261,0
824651,0
107201,0
413863,0
382621,0
312353,0
511439,0
200789,1
328037,0
864707,0
114613,0
280699,0
136027,0
530753,0
290999,0
110923,0
975803,1
427067,0
639439,0
130817,0
727711,1
249437,0
158699,0
196291,0
783677,0
948247,0
151391,0
294649,0
177979,0
314543,0
355853,0
383077,1
222137,0
162451,0
828101,1
555143,0
183301,0
108677,0
122963,0
412037,0
531569,0
906481,1
554633,0
514201,0
857953,0
132689,0
435277,0
319127,0
328037,1
225353,0
577081,0
729497,0
252139,0
111443,0
452443,0
185569,0
227467,0
117709,0
202067,0
235043,0
894277,0
147031,0
617363,0
236983,0
245171,0
6111191,3
3246407,1
5517901,1
3078401,0
3073813,0
1423711,0
6741223,1
3272783,1
6977059,1
3376783,0
1091177,0
8650813,1
8961409,1
8352769,0
2453687,0
7068059,3
2833969,1
3441709,0
7955603,1
1289381,1
1484671,0
4098461,1
7882681,1
1993037,0
2026813,0
3568973,0
3854897,1
3188987,0
3025177,0
1430987,1
1276279,0
2223623,0
9790219,0
2862733,1
3103879,0
6776629,1
4190023,0
6229907,1
1068323,0
1074481,1
1200389,0
2831909,0
1307431,0
5812117,0
6018127,0
6535189,1
7868813,0
2297777,0
2901077,0
1022491,1
1016011,0
5453417,1
8448007,1
3477959,0
2345641,1
3736507,0
1559797,0
5718253,0
7273099,0
1835861,0
2681249,0
1303961,0
1979317,0
2145193,0
2274893,0
1754359,0
3934849,0
1762681,0
7216037,0
5138657,0
65843867,5
16739519,1
40360487,2
91107173,2
24887749,1
62368123,2
36286729,2
60044273,2
13711829,1
20014811,1
18618373,1
80245247,2
13770599,0
74341513,2
88657187,0
60380171,0
81970247,0
10838147,0
13506209,16
15748489,0
75938059,0
29337727,0
91720597,0
19875137,0
99252583,0
24387067,0
50954843,0
57732979,16
41752661,0
33988243,0
26076409,0
19672171,0
14512721,0
89292839,0
16997273,0
13984111,0
20160187,0
79685471,0
17629519,0
27904091,0
60098803,0
41098663,0
14102783,0
24040183,0
20030839,0
11221709,0
93208081,16
54515663,0
32447167,0
11209711,0
16297943,0
27000671,0
79981673,0
30096923,0
40201043,0
56382617,16
11898167,0
13020503,0
18867427,0
13869809,0
15864691,0
49513019,0
74800987,0
15836243,0
44654783,0
13424401,0
12443933,15
13033393,0
17877869,0
66851539,0
233269633,0
975968261,0
133981511,0
651755701,0
814420939,0
918146431,0
356102141,3
219734717,1
111340751,1
161534767,1
560246417,2
209929351,1
396026629,2
344469977,1
113664611,1
313196713,2
655182487,2
189042827,1
365259599,2
435370627,2
743720767,2
653937631,3
460834511,2
101327503,1
186525107,1
199121719,1
813797041,3
217986287,2
455375959,2
103854347,1
809797829,2
899992811,4
409028387,2
414483829,2
159171049,1
404055367,2
128568163,1
870942659,2
544293809,2
150632557,0
585037477,16
140850569,0
112389857,0
465091909,0
705179569,15
514539433,0
720140797,0
250386889,0
269379139,17
390336223,2
210247181,1
685365367,3
307042607,2
905664971,3
151005493,1
114216029,1
598979149,2
231694319,1
217597141,1
249532207,2
893415961,3
114745061,1
101039377,1
107025277,1
102835547,1
474132409,2
303837539,1
861120371,3
140138171,1
121147391,1
3810877691,6
2033675323,5
1022739253,4
5788903027,9
2502376939,5
1284018623,3
3222167453,5
1912113509,4
1070306521,4
6396767033,8
3866710483,7
7943751323,9
3727691129,6
6777699671,9
2771811589,4
4842585161,6
3053448023,2
1959575881,15
9730077523,0
3045027509,0
2094185047,0
2940957281,0
8402870339,9
1556724311,4
1443842287,4
4003172729,6
3903013733,6
1092363401,3
3748949273,5
7910132939,8
5290474547,12
4939190471,14
2583011147,5
2470174319,5
8826845057,9
4353321107,5
6991524311,8
5017496243,6
6416957147,8
1796266763,4
5796589241,6
4173456473,5
2001343133,4
2200511633,5
9473201581,9
8789712901,9
1316053253,3
1306388927,5
3354826247,6
6308072597,6
1317917723,4
4507701733,5
3604483583,6
1848776093,5
1597267561,4
1398838787,4
1619740349,2
1422567103,0
4783725007,15
1679898443,0
2347191347,0
2295356621,4
7647575977,8
2137228997,4
1679907947,4
5025248021,7
6153116449,0
1771567781,0
7037326861,16
6181928047,15
41429729333,29
15345718249,11
28773338081,2
31894081649,17
15722301929,11
17050518269,12
17882123471,12
96973665311,28
14245117571,10
47930461627,19
11895832409,24
97991024323,28
51516038867,21
12585113257,0
14065407739,0
10124749933,9
32467706627,16
10361486563,9
12896478941,10
14390779547,14
13002930221,11
12870836233,10
16019046917,12
26854388797,15
24706076737,15
19335839309,12
43156138073,19
20179395073,11
20941716973,13
25728869911,15
