Number,Time
934428374838,1581
1019477102065,507
601295217321,635
945976335620,1191
631073661402,1219
3175506274014,1513
2243794194450,1533
4228110744147,880
3000815737352,1296
3483139814317,274
14299104145210,1812
14874095210812,1632
9505897802290,1692
16436364634356,1891
9155115025601,303
66557563359590,2214
41017675454420,2181
40551539891506,2084
49443361944923,424
61280552170012,2058
168775372529068,2267
164329419254613,1396
263198575261651,469
152124153514026,2574
235283939980413,1600
1050074620593691,1543
1097474897513814,3220
1125138274742567,624
684679112975841,1680
945095768759599,554
3288966474840732,3669
2544061721236002,3504
2576842548516665,1869
3719379616531006,3110
2580921428660441,637
10653005029735092,4073
9757809534627950,3905
11392508920853162,3527
9998013226527065,1634
15245557306317189,2326
36901830472208328,4684
53127010348900914,4788
46198398109055682,4934
47373795222973547,1067
53568089783920108,4153
278272325346284406,5879
231117686549608520,5384
231431987028615117,3159
204842130458752692,5613
218910917530683804,5605
689835872771047675,2497
856805280460688691,4012
835939175966356297,1809
870238087448835775,2517
846927453495218559,3501
4324919482229332284,7515
2533968444507719278,6417
2801847395449520606,6414
2534271137843848266,7437
3630773520335273822,6423
17464617117162898667,1719
10208671639292563406,7760
11163453669704911862,8140
10687863272178092507,2211
10514105935366354301,1449
53417573263075883353,1759
45310126145485476181,2414
65791771556685250730,10421
43329420202877884972,9077
70172989996806846288,10418
176854199069697686694,11636
262971849941871542451,7624
184500467967863042998,9947
285515230004871803370,12905
235888525692455621412,12116
1008621568350011453706,13664
741765938697479343362,12582
679477317219168348033,7034
593546832219755434638,13060
787333096252026102818,11915
2515859639327275650118,12472
4576956239655510576274,13111
4491047670898918152849,9730
3133241393041820087471,2721
3574940007533903401744,13323
11369912858983736749078,14500
13060365943012154310799,2693
12575355613699269607837,3714
17017143695359286148289,2596
18268489530953037930337,7935
59172144034813279639892,16023
50447038899519080285447,3196
67245427955169092455940,17858
46707165252171388415352,18594
44554396663585161996246,18311
228158705116656879175240,20399
162627973019875062328751,3370
298747420854135118314230,20529
215082086376577318347179,3641
299883039863280615500209,5645
1017459152232099754019575,9896
1077270834728469811578847,3955
684101758826327815301222,19751
1027543038329025164395691,6024
1197710169297472717475389,4003
4660707472618038789621509,8491
4058152597900182023598004,23042
3213537033122292232944139,4632
3823310262348386391749589,14183
3586631582384647725891805,10730
10723293018078819467613774,28410
9856507470973586766330658,25225
12927343775740486196884535,14677
15709963674390718351768537,4933
11343255204489154115658655,11930
56964032672311705924710667,6340
49886037633162441389152257,20910
55092503883410502945196847,6637
42493421255604709924605760,29514
62595992180710144538978290,29939
293754737111760641233148244,34391
231065063206046293390293626,29169
155759477721575193609797096,27791
160115907508311019051124981,5219
235643982955806504653936686,29130
1223118628799164156550835814,32875
851101943690539472991570293,7674
947979784506966968125809920,35239
1142193495987117844346014269,20896
767735596508892010031314920,39414
4245195482972534026124837979,24842
4693495054835994907563777762,42620
2906410429690439289408230606,34925
4317464594662558318620922559,6471
2735526712457488869374742719,8279
10884751577371358491708597257,24211
16062536561994643447971293676,46411
15757072494492166012106613680,42173
11986405022890551111178167586,38215
16851913138854224695807729531,9594
55486274576817832119638488455,33462
40044022123184650623847647377,15881
67445180303062723484113398147,26898
76857194934963998576571405321,26478
65416596838318240065326615663,10775
220897981814815187744710171593,28732
257545423172839979140514027302,51067
296893815492273099850015597780,51008
178560788942700015891076335163,8783
208772282815350702693737088462,55388
673201315038733450011033754123,9658
804727501121943062252389755872,47817
1127102618159591243014994346551,9260
1041427744890087926529926473163,10360
1242188292312206005081257779857,12555
