Number,Time
19279,27
77038,125
30786,65
14222,41
94664,69
64581,21
96463,10
80440,33
47381,7
29614,21
73139,8
75461,7
46721,8
28339,5
96214,30
93929,10
12327,14
44843,6
60766,27
98888,29
35070,27
85957,7
78805,12
52063,10
85807,5
55228,23
37755,18
62093,7
64533,20
58560,27
27868,18
38211,12
12120,14
92477,15
12900,13
73694,25
34101,11
80057,10
59326,25
54567,15
23425,8
81047,6
46568,30
80560,38
32546,18
62300,25
28312,19
82508,25
34844,18
62218,24
94231,9
37387,7
20007,11
80003,14
73432,24
41846,21
31744,17
53404,24
19183,5
78397,10
26226,21
53196,25
21108,22
85661,6
80461,9
82594,25
64852,23
22183,7
87190,31
51448,23
166759,13
716113,21
645926,59
478320,53
231896,47
822936,61
356823,29
140596,32
613499,13
563837,11
174325,21
614158,56
784399,28
259503,25
508584,57
892181,16
625863,37
993934,71
944020,63
484190,48
319556,41
681519,41
277949,15
639174,64
633681,31
552637,12
960478,56
845501,13
402155,24
804926,65
215435,19
193444,34
907302,68
406106,45
929905,34
311197,11
518842,52
575685,41
346282,44
807110,68
465439,14
311709,27
700244,50
299518,47
855683,16
916897,14
257096,38
860417,14
211032,44
482343,28
616146,59
989034,66
545796,60
373534,45
722739,33
306242,43
405618,61
633434,51
529113,32
171535,22
554022,57
847307,12
344274,50
679440,57
761182,61
124752,33
231652,43
637449,37
215654,52
134275,15
5865594,121
9537574,116
9837046,110
5656842,107
7996143,64
3260325,62
5215007,42
1448095,35
7051524,120
9597962,116
5095521,55
9664887,67
5130338,94
4225787,20
2900741,17
3101653,18
6084661,29
6249716,111
4831611,56
6940419,64
8005799,24
7840711,32
3448937,27
3879000,106
6227568,123
5263204,89
7136426,120
4888934,94
1459156,69
6771130,117
1636092,82
6154226,106
5631674,98
4506899,22
3020573,22
8082342,125
9295242,124
1881442,74
5638314,111
1979662,73
9352814,122
6374389,42
9953587,51
9699766,115
8472853,24
8102555,48
1959501,44
7610925,96
2363285,37
5355619,27
7746787,23
5247088,96
6708974,100
1103978,62
9089562,123
4539838,98
2539145,48
2391044,79
8846077,33
2766838,79
9948456,129
5792560,97
8759673,67
7150293,73
8014187,25
5936200,99
8171758,120
8330791,44
6172411,47
4731157,21
81959161,39
84117588,218
35131200,167
60202973,38
49143286,162
16664499,78
70960586,187
27533541,97
88974220,194
87935202,211
37640335,79
26229838,142
53631932,166
57263694,194
96515066,194
84763179,119
34172805,120
77760165,152
95098771,42
76047383,39
94106711,49
75687545,91
28641114,167
53945173,36
63158170,187
13927554,138
11900134,131
21991148,141
22701862,141
58492581,121
67903097,44
61478892,188
47688165,126
81311939,45
46128648,171
40926313,37
20469590,143
80134912,199
57197923,59
97296304,202
20987931,91
34685338,159
44897517,121
76244858,175
44286688,149
57155079,103
83543153,45
98529103,39
77868509,47
49911959,36
74561447,46
98768308,188
15805251,95
99704780,218
66769318,204
74179297,40
52870591,41
64192243,49
11412669,75
11563048,118
65690575,73
31738832,161
22697020,146
71965955,84
58628193,108
27252708,163
41538971,34
87724288,178
44601225,115
33704836,146
946210787,71
825701180,310
827043673,65
207954870,252
894873103,71
584621421,167
548387382,311
813697109,74
690122790,362
752824372,287
649817252,290
337214325,199
497983312,366
601084926,310
145686691,48
119779998,226
878192059,72
998417879,102
160554760,219
436262584,251
510459354,307
542950426,274
208013499,129
149680140,234
719842990,313
105850054,192
288289049,51
425192035,114
769640129,58
257646568,224
122054977,61
866716378,311
733138576,305
362833362,283
680930620,289
830328319,74
381155852,269
288224858,255
562215745,167
574990969,107
451535315,166
469107845,126
382517529,169
942250736,315
443573578,268
790625803,98
339758792,255
176890400,224
496399085,183
417830884,255
389717644,248
217387740,250
627469986,306
266072747,57
760007788,280
800970925,128
373502354,247
428987428,253
872920017,191
560801220,316
723852900,338
649463595,269
512529547,59
710126667,204
668443530,337
253159687,75
655247304,322
640250058,316
775682877,180
679337455,129
3699950595,309
8686840110,572
2659278890,438
7349899060,510
8486836832,452
1961729728,370
6505677160,478
7520048469,300
8210323878,523
8179981333,101
2418432094,422
9773697345,372
8571775792,463
8128420292,443
6952804984,441
1956633185,177
6693828808,449
5150219462,441
1954122527,151
3181136072,387
7061629950,538
5261566087,90
5635095205,202
5539191927,267
3822719262,462
3087701480,418
1675298727,213
3336979175,175
6309914858,487
7461931838,480
4548302660,439
5279518069,175
4066731351,238
9546911313,281
1069169273,80
7264738351,147
2054648777,79
1906725952,340
3659656401,227
7271896073,162
4995226913,85
9979942406,493
1669401164,330
7877828981,137
2177072275,219
7468989118,466
6466354868,419
5249599408,415
4006068943,83
2319235434,409
3754376415,286
3106941487,116
6028235656,428
7007808318,539
4649098974,482
6048420466,442
9053760347,103
2153464099,80
1359377387,77
6753074110,487
6086639107,109
1628897646,381
7257310799,94
5435842058,419
9057360911,94
5039762782,414
8805576360,532
9920192105,220
6253649276,438
5952229773,312
52029169288,617
93661772984,720
47676864404,643
74568093909,434
88407522742,751
69417325058,655
73898173411,124
37873280810,687
61195132600,709
34181961676,591
71212154307,467
95904701384,735
88870724976,805
57694660170,868
54575761801,184
35852190433,137
53242687684,615
47597502974,669
29990397635,298
90612838187,160
92944548406,729
26607816760,622
80283962471,221
95794959467,154
69781824673,194
64401055654,679
95154160597,150
31673202208,582
37277230131,383
83002963614,831
75982032450,788
13408095810,614
24841840789,113
57002007496,683
85994976839,160
29244202785,469
19508219256,574
50590824901,120
45707108507,135
59089446414,823
34754219884,559
65656399153,146
96386791951,130
96784130098,724
22243182538,542
55501876544,617
75546342497,185
99744443460,829
11888798705,290
74595608866,661
99545862496,701
94566873681,519
10890988548,548
19938563836,570
98199486858,839
68420706971,139
16757393101,100
35289443874,682
95570298810,892
57334522310,727
74622213806,734
97516389413,148
12044459940,596
68326390716,763
58352231614,638
94852195152,828
29009943363,379
51519818600,711
12765947462,565
65706052643,357
851682331078,1083
958098473711,205
252965483777,190
824827543315,447
907456793896,1016
520756295408,963
581309965727,208
782644436719,221
765542327323,236
329436886209,535
479206822345,404
610087552959,583
972028785535,549
701987347200,1133
820081699881,665
199560693648,914
366741656697,598
161417446323,571
997922221322,1135
200367090645,627
198760544384,797
165332322907,200
804638929366,1050
885690224217,605
875282515874,1090
206185888428,914
283868571182,927
304494722116,886
629036209928,1000
166737322474,785
895194802169,196
442373715242,975
474162246630,1127
886321056402,1160
550202894029,177
967718928152,1050
910423116976,945
954110163161,182
377042486428,831
551897875707,596
924020015928,1148
512817313070,1031
154095769376,756
382142950853,355
753663618415,446
826995432473,395
826530746399,194
140437760640,889
785143878614,990
357348037135,386
882595274753,213
232886114332,786
585618593304,994
528174923514,1096
118913943764,784
961867461385,528
401763272471,259
582401471538,1033
557999433136,929
916930119498,1141
310203352607,184
890609961419,204
310792436975,381
934914626215,450
252648834321,547
183921689916,874
922238582997,607
546157678616,934
559922139135,689
887421769131,568
8856971428129,460
2584896298520,1244
3600442708886,1225
4584253499981,322
6620114639121,811
4916733265335,933
3618101164991,253
6866559494131,286
2928168433338,1345
6857955132714,1528
5705204307789,907
5141288770502,1347
6706218704084,1286
2241598439393,292
4370619289912,1228
9180464025514,1356
8117979548823,861
1058156024293,200
4873499740565,540
6098257377607,256
2873669399376,1276
2878493319870,1422
3674490517142,1247
5617992035105,559
3525906887541,816
1478253695956,1055
8690795359108,1349
9820491164264,1458
8480767987496,1449
3483749389527,788
6806901745990,1505
6446297739818,1440
4773958986584,1305
2896268367873,685
4791461021558,1258
8336952263789,267
9826804983795,1113
5542722154217,360
3192774230900,1255
6920947888025,624
5822423883928,1316
3547064171180,1313
3228709002549,725
6830822550730,1460
4531415414579,311
3813549138954,1380
2577678465535,541
2028807281121,679
8663955726907,410
9060630795346,1457
7621851747112,1327
1125128289489,594
9819723359989,282
4210907397718,1311
9306048189757,481
7079133165381,820
5184424559943,753
6209760090124,1326
8865487744971,986
3359418735703,342
7597147500383,549
8269702551834,1598
7074699685732,1527
1287785182940,1212
8012912333347,289
3726726014776,1281
9944890732832,1530
6526084126623,848
8259084675126,1626
7141215366899,421
47021336124744,2016
57119881112172,2087
71127526547377,378
54630008790210,2242
37376066912334,2010
70038903565728,2113
64357794022261,345
32106904856787,1032
99503299545166,1973
74345597335077,1110
55724872845180,2071
34875875711476,1621
47473969823080,1799
43673086224101,473
89301933399299,364
62153286627286,1870
97409679847753,874
75803641126190,1968
93593248569296,1906
78267745752745,797
86798152859104,1797
95654323746227,436
24859229586279,1096
68999413887210,2154
46062926548505,725
32801294078891,569
33053308369347,1238
89870300347228,1832
91920925308195,1465
64705551091176,2003
27667272142982,1633
17950330416966,1860
32318174165615,837
77926488465518,2001
93753911589599,354
73552330966193,361
70705019840464,1759
36316844961273,1030
25826823820809,1063
37527335992492,1621
87947397873580,2021
10059372535775,607
85807894338189,1100
26114651178009,937
90331419769548,2069
36192587793639,1086
59757234346856,1763
99165307383101,361
47333774951437,534
29022898978083,1014
71477624012172,2075
99316199601811,360
29286476947303,322
45401000144585,766
20287856073380,1699
39002520537204,1919
44771267330662,1733
20294235227561,310
29120476187947,348
17192877680867,652
57759854697577,321
64055099115990,2088
36768104869962,1866
75914748178322,1814
26727215190139,320
60083790674214,1962
59703354690962,1744
27396251943449,331
17840295094206,1821
43406958614952,1920
