Number,Time
975727224349,482
921506972801,263
1013993288909,216
998188601689,215
1087422842647,222
3417141389957,299
3149610746981,321
3154753294619,276
2638115169773,256
3327344374183,305
12688341490243,347
16781248012189,331
15430690472507,362
9160039339951,304
13046753372123,333
69315628217749,407
51448805633471,370
37657899716237,426
35508372180241,352
52255279731797,420
262630797255793,449
161965683819481,455
271122149420443,494
229866408661189,473
168581315480143,444
948228747566831,567
654357506016989,576
1103797771050167,657
933138000616439,557
1085749204638463,549
2925022763079101,595
4427526963680371,622
3524018228293349,620
3433321967453471,662
3389441548497457,643
18010243608327689,727
13132451895308027,826
11185041199393111,730
13277944843109059,682
11006737672232317,728
45521044812172913,856
39970342534067317,791
49962830822834029,800
58287148516041937,909
53776544991110351,871
213911594821088833,1022
202786684296025481,948
270776627671252949,919
247987686923114111,926
187201197491404667,977
605741659297580077,1015
1085367443545114973,1122
889258708417150361,1022
745734795023953811,1104
773029443751726409,1068
3087237996511334933,1235
2590412900818925659,1162
2637958091479543771,1151
3700142048739243511,1237
3703256806516301179,1279
12730719370453778839,1391
16541431568556578129,1568
14768994956415532097,1505
10969214743339881341,1487
10622998536291134839,1323
63355376372424212389,1763
72822442875010228459,1807
39564766916957179207,1779
50836471250599302773,1768
41538940984740277391,1736
257300686320975184627,1972
156084016219706704277,2025
149996184766018231031,1723
198517017655913082859,1914
162504885900685371809,1908
1123324239295067179831,2267
918586749848578374719,1968
675104132607833311541,2225
788627795823353639761,2092
909771388263507553747,2331
3004606103606993839517,2378
3694545875981081959157,2397
2687331826071806580083,2509
3150829430243392939763,2605
2479797667536882713077,2471
12037870529298973424831,2934
17568037036220566344061,2655
15899581494142419159101,2731
14136179440101605569679,2986
10774493639473148092447,2829
61271370939008506873307,3284
41281907881094284303843,2961
58824050349719887771681,2871
73269961824103017427547,3363
46053251214619991023961,2844
283889779959446890042369,3353
175818588705008001522641,3352
212008597430426735460581,3444
185028482400270853459477,3414
221414627952247783349917,3604
675738217617083968327811,3718
712934233984706229222953,4213
746288652743996691706823,3923
1044970416340664084274793,3908
1176437710866258856220591,3720
4056770201069419943273617,4271
4443452520746391730027291,4319
3552954511806335090716033,4445
4165069785137406559556029,4157
4741787942884754528762603,4494
17023549404908320592362949,4793
11100683809039113168196987,4433
16085990763928807603691531,4802
12254384079210195297686869,4549
10396610660110429570740959,4335
65940842460703899791263423,5708
61670976043525196593060757,5347
43293055219279657597176647,4968
42457609872817919450073343,5017
63787246082502714441678487,5542
301227893516688162224430353,5877
259172617746231907890494407,5822
205228273581807996846469261,5445
237817078773498851597917781,5471
216369601217630618239486489,5139
1098944161894959682381931927,6548
888659711602479949764432133,6019
667238365723164409808875343,6322
1055512310188244123885056507,5850
792969256396569489997520591,5776
3398478392193754719469035049,6681
2694272130443873082458917231,6425
3268633209131256914330302681,6068
3541698802907737218083228197,7019
4131712405844450696598547633,6770
14567997460771399479642943969,6817
9966481121262428557700648891,6770
15464524389438265560574291027,6938
13693452361159872990717032987,7862
19700579633845770262301365483,7894
56134059368639609103399138323,8772
42422370840482283475834316357,7935
72650645529270775278023787553,7962
73017516731670106938452875483,8415
69063234220201835342033908439,7977
213240686417995029954090732037,8830
272722576172826942711236838823,8869
257251017338714962759046724151,8335
312072006500754450180779440967,8959
273853261331913098799528500141,8761
1101228633447438752637592858649,9499
811132353929338879154893785359,9045
773597811643090867436894871221,9352
995175098463163920723043135501,8731
808701066764846533099872372683,9715
