Number,Time
83059,103
99139,37
17189,9
30307,14
53381,15
53381,7
14327,3
32569,9
42101,6
43781,6
16433,4
25321,3
22807,4
33223,4
36083,5
88259,9
25703,4
14083,4
39079,5
48767,6
10273,4
90379,7
45293,7
84221,7
32983,4
88003,7
23537,6
50839,5
48463,5
28307,5
16369,3
14033,4
36643,5
99761,6
71317,5
48157,5
38281,5
19333,5
37529,5
24371,6
29251,5
23753,4
22621,4
36451,7
36821,5
56479,6
33893,4
31151,4
20051,5
85639,6
92737,6
26119,5
21871,5
63727,6
27527,5
54779,5
27457,5
67993,8
62303,5
11927,4
58411,7
12809,3
43451,4
55243,5
12721,4
56167,6
25301,3
10163,3
79309,6
74891,6
265781,15
112199,13
205111,10
863003,14
323201,8
448597,11
103391,8
782671,11
130087,7
189149,10
503551,11
472543,12
155083,9
120919,8
468623,9
524063,11
431801,10
162517,11
745817,14
687749,12
522541,10
256687,10
978749,12
119039,9
229423,11
874127,15
111491,7
134053,9
184999,10
239843,10
255361,9
968113,12
181967,10
432137,11
860609,12
337291,12
327871,9
198463,7
795079,12
439981,10
121343,7
102149,7
658883,12
406969,11
154691,7
694039,12
587737,11
847853,15
627169,11
927569,14
344959,8
383029,11
110753,7
308951,10
729689,11
115327,7
444473,9
609533,12
611137,12
112951,8
151799,7
619739,10
188351,10
113089,8
141937,12
555661,10
239179,11
151051,7
320713,11
233777,10
4988657,22
9389099,23
1893877,20
1530911,15
2086829,18
7885357,26
1229077,14
6073493,27
6893251,25
6579589,24
3668909,20
2373001,19
4821779,21
6466843,22
6190853,23
1866131,17
2893589,17
4541387,24
5646451,18
1753931,18
2443433,20
1662979,15
6802379,24
2764199,20
3998339,22
2534039,18
7032899,25
1132919,16
4099189,22
4652507,21
7010491,26
2317789,18
7295177,26
2360203,15
1019069,14
2454161,17
4881691,21
1814473,16
7642871,25
1097729,15
6955633,24
6570881,19
3094991,17
2410519,16
1348001,16
8201159,20
4919353,21
1965521,14
2101621,14
5289071,22
2012531,17
1198927,13
8076517,22
3842269,20
1547519,14
2633831,17
7501891,22
6614677,26
2738231,16
5742563,22
1031281,11
2694499,15
3771737,19
2935183,22
8300069,25
3061811,17
6630277,26
3120083,19
5153887,23
1078127,15
65259949,37
85578131,60
28686071,29
35781439,28
82512539,40
44812973,37
10836359,25
41429491,31
75025211,41
35241659,39
26534087,36
51065327,35
30392149,30
32045597,30
15527467,29
63847813,47
44431187,36
41224933,33
42935479,35
30238409,32
16653787,29
16252477,25
24984527,28
35776781,32
51022067,41
91103741,36
94855231,39
40772861,32
96556931,42
97411913,41
74471717,41
16127389,27
15337559,25
19230287,28
19219159,27
12562111,25
17280997,27
51661471,33
18199471,26
26492831,30
96761339,37
17674409,29
31878089,37
88033039,35
84626813,41
30263237,33
93931771,39
27408883,35
12294913,24
54717827,41
58657811,38
64091449,35
26380603,35
12779293,26
10941803,25
93840311,41
48593791,29
10918081,19
64167589,37
27604487,32
75369403,41
60504289,33
87549001,40
98400593,44
77391833,34
45409517,31
45721937,38
21330347,36
53670893,39
11126617,24
559044539,64
129336829,44
655135891,65
334316977,53
112783949,37
200596237,55
135665773,50
543953719,52
443384311,52
531147241,49
799574401,56
246710039,48
141700147,43
269754559,49
233617037,53
120979753,44
188431823,42
351438253,49
334546211,50
521441611,53
140454313,44
229588483,62
197898587,51
797008241,57
138213181,37
113507497,44
292360333,52
115456009,39
478740419,56
390837397,55
882853417,64
426563329,50
781400759,60
880863523,61
535726363,58
279457589,51
156283573,48
722929121,65
157589017,45
459927317,55
956804923,61
284112827,57
456600421,55
114258607,41
119718667,47
252850789,43
148723637,45
380361301,49
202702361,43
719848183,58
309894691,60
838366283,55
840590741,62
128211247,38
258824557,48
142269791,38
458897809,56
295332469,50
554061371,63
184139141,45
177305411,48
201070249,48
225956803,55
120877391,43
122285183,41
593112161,65
110577563,45
102744643,34
480233197,60
103818083,41
1104098773,72
1089931769,68
9341624927,165
2862165199,77
4203435737,96
1988382317,82
3889781039,84
3243085337,87
3888932347,83
4956224627,98
2454493127,87
1387967443,67
3282858301,83
9819256709,109
6477408127,93
2157305363,75
4103375401,77
6784791799,94
6070945301,86
4115281433,90
1296833869,63
7390893533,93
3671230229,79
2978620093,70
3888831929,82
2055220441,64
1479072823,71
1070346803,75
2498377367,85
1430152813,74
8187926129,83
4433000773,92
3311985973,86
4376228573,95
2576738303,78
4920701311,91
4222234339,78
1204292653,71
6447043219,93
5043706813,109
2452131931,78
1179375181,69
7121191321,90
7544098147,97
1224121207,57
7485708683,102
2726121413,79
2911462319,79
4160952137,86
2644320347,86
5206694257,92
1918844881,69
2304486637,72
7621992121,88
4326807557,90
1536707177,72
1040824177,59
1201242233,69
3695190439,80
6946222291,85
3198187717,83
2042447353,74
3566028079,72
2302460477,81
7668443677,103
6793334851,99
8254908661,86
1164069301,65
6006196201,83
5633980463,104
40218927769,114
14680904549,110
10232064649,83
10603516331,109
75103344629,129
29064320809,109
61950814517,145
46576588313,136
73697291891,133
18921307621,106
22054842721,97
67112765711,131
40950501661,101
37537001891,120
29561510701,106
36031646857,133
33746382323,128
57496696633,130
60109354603,130
23270204701,110
61453315787,152
30566941751,121
16343797747,103
65089609973,147
22647219527,115
17585210021,108
99452508193,139
10706674379,105
25022769143,108
64502875643,143
58820335837,124
30509127329,112
13369348567,105
22619770493,106
87170714711,130
47553271021,118
66230570401,128
17561030177,117
94136663557,141
32746593883,123
29441019011,128
79838855557,134
15915363449,114
84605160709,143
19356549577,105
48174502751,126
23624056957,120
14252303183,103
33360446527,134
68917042669,132
49961429887,132
46109491817,135
42318623827,129
21900680327,108
56462719099,142
54225008983,131
60556511569,116
33993521917,151
49036164113,124
10348782767,95
27953277637,117
22029317207,123
31051425893,124
73830604889,136
26754522941,117
18085730713,108
14195233147,110
12426786439,119
26078979599,111
30826598591,125
890515540693,204
194038987573,176
282569456567,187
216548611133,178
204726732559,157
157787363857,148
126644716819,151
882868161577,209
722824237241,182
485583303649,173
853022183389,203
112942612357,157
996700285699,200
868552485149,198
985189394153,211
515053966247,218
528819372713,214
558512615681,178
245619104813,157
537179277601,162
420892969187,203
134406784703,160
235228171693,167
321878316373,189
303649421893,175
566041561031,195
426770619761,192
105507452621,156
140758863691,155
158200895761,142
106578892529,138
204647012069,170
239651762149,153
519671823403,211
567764223979,192
379592087923,174
243522699083,160
147976641511,137
201460730857,137
197320404811,146
199454599417,164
622006376333,193
929884559687,198
175703271629,164
925762142813,200
246680859053,158
440460302713,185
822695501567,189
250796747083,171
958167742709,198
743776936831,175
765961361041,213
112487927407,178
138440005643,162
245981507963,184
339170711821,176
429080168533,189
381513984773,199
238488554377,153
340331375753,176
473276063783,198
921134655157,217
126650076677,155
201906806083,157
832444474903,187
295747451071,156
480604088429,171
902713692763,199
243923466487,156
144434261513,170
6710080362397,242
1661311216333,196
2194241962109,218
6457261479899,253
1371881953037,212
5294082876029,246
7480906132099,244
1974310166953,215
6973824208027,276
2798789723281,203
4065587263217,240
4342313625367,264
9448898356811,274
3270781391993,236
1019937032689,190
1158041109619,193
4771820821219,249
5485457598337,250
6854506067041,259
7069204084013,266
3781797811811,264
2104502655659,228
1825764495463,214
2502722503487,253
1064375393017,204
3369187175969,216
1022152744687,198
2624543455409,241
1963157744659,215
2030105247301,210
4108925665133,255
3797849006363,268
7253061690971,268
7600241082803,283
1076200370779,212
2154485725369,219
1256235048421,200
4884551006287,248
4692094698793,228
3406633756091,226
2008645929973,240
3824449776613,233
1529928159679,200
6077087770121,243
1645100368669,196
3011293972691,244
3457204744927,243
3444637221209,256
2247937069033,241
9277214127277,281
5478436959943,274
3208295000437,244
1893191100313,231
3719712752597,254
1996168797193,193
8477560184789,280
8087990010169,237
9586513298129,278
2279600916079,228
3967214938471,219
7595003954401,295
4745002046843,277
2089187638061,219
2122217997457,229
4291106267207,258
1255036814903,234
1800679158233,219
2638049544869,248
2903560192943,287
3865662936481,228
50578397371991,309
11037225291769,281
32370635464807,380
10781766913961,274
10951337761423,301
28460387755103,355
18527354099929,326
25696856426399,304
23032671352247,307
18983538169997,343
13345699648679,274
16541972834479,287
14545454303209,272
83037183680149,359
27875439084113,311
16812534455501,287
11905246159211,281
20326229612197,324
27211413354707,302
19323728986493,315
27438399651457,291
87474839864641,365
52299783838147,314
11207968362391,280
86549595520403,352
22004025574217,310
12786651604931,277
30412630740677,332
13937373634127,276
40783140800411,361
41663177783939,342
30068847624901,295
16224360838993,234
14399655874493,273
35580950747473,299
62714281070359,336
56301845898107,349
45335063061247,329
19456048193243,316
16793730953941,304
37606754261539,289
10111758653383,280
26617429473247,306
21425434383181,270
16794006927661,294
65786727842923,359
12737852001053,281
31887587341409,318
42840108877403,360
45922530389921,313
26402521662449,294
13322969348701,275
23109031743151,279
12489577577161,285
62549557929193,321
30084977313151,323
23498757287459,278
81361810138277,370
47631049054837,346
31482904881557,322
82510262531623,356
16990077004063,299
74842136928199,315
31722861534691,315
14484305827709,279
45699787457771,333
33586391199133,359
16753966151869,262
41079364990253,346
12839809246087,290
105563038565821,349
212561315914309,404
205458083678711,449
943778956244251,480
884257588150199,471
148905549820091,353
611372641617527,410
512199133290301,464
136009760349667,397
100410180238967,355
261088992023281,358
202335235971881,396
229111851107357,393
138933103388507,386
442308128405609,437
145417924347341,400
716703935314897,452
906433702482197,522
294068561269993,388
426934677560471,447
128917033500779,353
983292159154057,483
901377281656297,493
330871198922039,433
128928187698881,385
964709210991751,476
109210134111797,420
260189479759397,431
192105605243521,359
483461942002097,435
182347733220599,373
103863146896637,367
133343456779097,379
245426782341043,436
106431077322061,344
720833912990533,420
975982477049123,512
155719875945041,345
135251058766189,385
296308856674939,446
422374634493017,477
521696669572789,478
192869676798473,411
566464321009207,464
147020283361339,424
591228974585827,464
740649575307991,420
822905267467693,468
774798434755193,472
786574958145877,473
542297563954891,437
116768019998953,342
424373440344481,418
497618270001283,430
233714996170891,389
231719827618001,396
175482068413549,388
773310691317029,472
223963475643287,377
666047874599083,466
120792300729047,403
415659215101343,517
331516788525193,444
121247647162667,408
326187485251571,426
213840794975287,419
817064616155747,562
301573015264109,426
200608173025697,414
555625916163121,382
1469013104108227,511
1905726513963509,475
6574752291080593,565
1917176946827881,481
1894060161478603,512
1482473544192149,479
9253528831694027,564
9716593056839083,610
1439085704918479,499
3965245160912417,601
2193328216196209,476
4553011987964677,515
1480457006224373,520
3688433749515481,525
1439875337462273,542
5893617725194099,569
2563080306029983,546
7726548815138537,562
1077258721057669,476
4020023047725379,584
4313670795153157,587
6446332724739827,634
1697887832883607,538
8310427919613581,580
1146429366424493,479
5953292575672109,573
1809969675444607,515
1864201585281829,477
7799442745686821,615
1521685527431071,464
8857094449474279,577
9424619621443291,563
5711651310486643,608
1601662841151049,495
5770571276992729,563
3156080595371437,588
1986167150290733,588
1071878339525359,488
4836647676201113,610
5505248175810353,587
2010728012268721,471
1573970244654239,502
9424118623127213,634
4557641105952269,524
9830004374332903,622
6701265990522283,631
1157040011330639,497
4666167093412151,605
2545262122812163,565
4258687401085577,574
3354442113426721,541
4270736815942307,613
4596619506481819,554
3420163901245573,507
2874881785193291,554
2054859471102913,501
6884354710781323,603
1652236296582479,483
1726472964050249,543
1794435146754953,489
4854934714531019,557
1463567699300081,487
8698787385132961,530
2267984453597873,517
1851292428764297,475
7708777534780843,557
1264435179629191,505
8103069356729441,587
3626651162790101,567
1928156992647667,571
13541134114392721,589
21973115653625399,591
10460574669621203,614
16036175549552303,710
96122310574445053,882
17270210244072211,631
17545496282594149,582
10499278040062277,695
13771491867042827,681
21755419109686403,659
42057312972164989,685
67599281309822257,743
15459303798656537,594
56977474662470203,760
13440484057556639,632
17755541958690871,634
14498940889456757,622
99924564205327031,785
24760084109335711,687
12264887686029343,601
31611345556234351,687
58883478202749047,753
25646936541085177,693
24602096950874543,724
27220332450597449,668
14423146111448483,729
70076111423222551,693
11162152761128777,569
24869857779230003,624
16523470887948223,627
97291494326316307,830
32199724001184679,668
71409819313399349,680
31849507189017757,668
55475186126170381,707
44458843765865743,704
30567716938185013,663
25185384235882513,627
49543964717430217,623
66887151965901247,749
22393998421649051,662
16171219226287063,633
16252910709728453,660
44793941098602391,694
46990610331164567,738
35744158055113987,738
36128047292861119,715
91294616379053147,870
43497333685693021,669
84297737323612327,802
31522204037038937,661
36733729494385279,680
11784386735756021,621
69882797041770871,704
11839006261318013,657
17035349748323983,641
17255565294349819,647
10938678563179253,645
52032202129747699,746
13157860736954569,591
24257663437063699,623
83232724099123603,758
39032942740369163,718
51129057008634041,744
16638222056818457,662
46404693297209141,689
12362528491572199,661
74982873839257469,729
10618226502941173,638
20508018342856453,733
556932760924074287,1011
120443390539561081,746
192447458375178991,883
384517765797051217,822
375010438125050467,933
211009364338157941,793
278832974930850007,895
122579058642013859,849
657959299860407729,960
688855019359742549,876
197801369468848447,762
958019910980757697,1102
220890124746774277,963
190280690087632709,922
114312692190641143,753
797404286015947367,902
218440038604509991,801
148818157290947659,854
175531647651642713,942
305018935460075033,902
675108663854183831,946
832815154134532577,923
116143011399318853,825
102911219555191051,774
682313167802118547,959
202802709273731167,884
337051448253459299,940
538284669681525017,991
442845742086226093,878
501479885151088267,947
436132110893049853,960
772432263084994229,958
544704185854789271,874
124492191571662251,814
522532015358123963,986
108813735351718337,832
134627530082391947,871
939317683129181507,1085
582895010635094243,965
111619301536447777,756
116749098380541113,834
314504655883825507,849
356136977311037711,858
100388979307773287,769
184768458201387343,790
192769123069818517,821
240402895976549239,849
606171255743960861,948
153915044721898981,792
286516707083524349,799
146393593731847009,781
285580285982371781,879
577152171108556441,831
109747003729697641,668
227221668990091463,874
972932889752523299,1015
678161492784687911,870
358047886315361731,831
146371400452745579,771
446773863986439463,884
428796246102129781,868
148823958211573273,828
247388292904051139,810
114988265765820347,808
107682341570982221,772
285792714483708851,824
797451261938108051,848
140176023592001737,803
109200315162230051,747
369152037854491273,895
3092416620843931111,987
5858214672961824071,1172
1678766429416536281,992
8386743638909664491,1124
1884683516788855247,1068
4098204201459195301,1036
1638392155716463351,1004
5525252627222392739,1183
3070515695719933523,1191
2356407406486217099,1078
2164443762456552419,1049
4579483628875198447,1076
1137752133784112569,980
1694546188222903303,1046
1549145052308058089,1026
1753117768887693281,911
8412207983294628673,1253
3870614829672432067,1126
9620143991907276103,1238
2516194172813276927,1121
9793903764563731777,1222
4021533182889176371,1023
4219713410708492293,1089
7447008114953437853,1275
5206991597035906001,1074
3773334345419795119,1185
9347166739617344783,1287
2103097296126514489,1023
6285745292318607449,1170
8370328292848619753,1327
8901758080962188839,1150
1931918014073709751,1065
3134691787207620293,1088
2089498998258612697,987
8203884797318601373,1256
1643300092014448159,965
9877568778815927897,1203
1039698440329220099,882
8999694479050164503,1271
1150416722650835551,945
1715334423899687753,1107
1723697582513658239,1035
4821057735545595461,1000
5486208864945133397,1181
3665804353079127733,1124
1054629352681919473,980
8818463546729660617,1187
4069790722972123783,1140
2799446584888522619,1095
2920094581877553869,1085
1811838808686927047,1050
2455214307725520317,1207
4235177253436486387,1195
1139840248575473671,974
6397598544151532023,1161
3208965248010572587,1116
6528950319412687531,1087
4947135881892717223,1288
1042919094316642057,1016
1257057910862972263,915
9901623808930518751,1179
1983355538205881569,1100
1500011004631428533,1050
1366489972156401439,972
3782915861404719679,1126
3491987901085131083,1130
5710817081876104241,1084
1906617448809198821,1050
2044827111941930581,992
7752784365949345493,1153
50866143417318020227,1550
88598549907696859007,1464
15616783536789798653,1318
36565939839152827981,1363
49572658217500839271,1306
13725824244688794223,1222
60817362860285257927,1382
30477729101455403869,1319
37908141123139781311,1230
29720636948362579039,1276
25515320083064382187,1228
33721757990281288621,1133
89202546280616053427,1427
15935188634372713757,1307
34226447667509692201,1322
96585271369545151987,1474
25174584732885921209,1388
25174357378185661381,1113
83626220509249716373,1593
86678157478175891753,1411
34811951736192704351,1303
87592289154567447359,1365
28032207640754716547,1304
23585415007161649591,1285
15501551988194977429,1201
34237707102491101213,1400
12043858155824713643,1236
76535052130919681161,1434
29150997925240868087,1374
17430864676018449407,1289
17158508947455689707,1352
10507749571999247873,1255
18257398192111341227,1367
35928106187993414489,1397
58938316647050390741,1349
34016932745290184791,1332
12761764640084512627,1180
68300726656056581009,1410
56644890186029750117,1357
28445502506288820523,1266
18423525228346042421,1211
89399931691791232147,1530
57078469346292187477,1523
37381158098411567129,1248
12706321958608295293,1155
61867045677660772811,1440
14145103207869429799,1078
47659721628744231977,1503
13242148853953233101,1050
25130558818508559457,1224
72264021236838419701,1406
23244520438860397841,1178
18769089224503141549,1255
60471117930873474053,1467
48002110445828302109,1383
33597865341687195629,1352
27882506139704708981,1251
27075116038733384507,1417
85490496630058351901,1466
37647256112947751971,1228
16878902288178679649,1127
68185990541943294409,1431
40240611873016930931,1316
29384954781705258199,1353
15560268619928653631,1205
31850077356431826119,1208
12208462036081810481,1200
31332581418998362039,1248
32385883159677245813,1351
11794713996201611257,1127
220867446213550743349,1575
408784832064821070569,1596
161744807321599591553,1503
255141384890170535021,1439
489844563543365873413,1709
188157250339185539773,1526
827571881308526367467,1836
629098920783559035547,1710
166000356351338935411,1497
259192547067841162169,1610
628689573007269913199,1712
956549179389063151231,1586
112663499157527395031,1620
889122125784971764123,1970
141706692303307894199,1628
801726908384249063107,1795
619466104240064299847,1723
897661707420947239861,1749
458039267825521428187,1729
196488985823049049561,1508
453890349356456522551,1637
563231411490964005841,1580
529680076026144318797,1943
160498296804106420153,1543
