Number,NumberR,Time
127,126,32
163,162,30
359,358,221
101,100,8
409,408,248
197,196,44
199,198,36
211,210,36
101,100,8
109,108,8
911,910,1921
277,276,86
467,466,416
227,226,64
307,306,112
229,228,54
179,178,35
167,166,30
211,210,36
163,162,23
389,388,263
271,270,75
127,126,11
419,418,291
241,240,54
719,718,1292
523,522,462
379,378,188
383,382,252
479,478,448
373,372,186
223,222,50
239,238,68
263,262,95
103,102,7
409,408,233
541,540,451
499,498,407
991,990,2081
977,976,2849
163,162,24
239,238,69
347,346,194
193,192,33
881,880,1861
149,148,22
137,136,17
619,618,706
787,786,1316
229,228,51
101,100,8
601,600,628
227,226,65
619,618,699
853,852,1638
331,330,118
881,880,1875
331,330,121
181,180,25
227,226,65
509,508,510
227,226,63
349,348,171
173,172,31
457,456,313
683,682,1058
613,612,682
643,642,784
109,108,8
233,232,67
3323,3322,72417
1201,1200,4199
1847,1846,15559
2137,2136,19357
1237,1236,4613
9677,9676,1274926
1741,1740,9971
1427,1426,7971
1433,1432,8307
7481,7480,547691
7529,7528,670940
