Number,Time
73317,0
54406,0
88186,0
60248,0
92711,0
53924,0
84551,0
45842,0
21868,0
50735,0
92268,0
40346,0
10884,0
44956,0
86104,0
35684,0
85708,0
11619,0
38114,0
93431,0
40501,0
80445,0
89973,0
78929,0
22511,0
26249,0
76527,0
25985,0
38827,0
52379,0
69699,0
77149,0
41458,0
14162,0
70110,0
53724,1
98880,0
10383,0
22336,0
29145,0
63483,0
92232,1
85354,0
88351,0
96408,0
66433,0
56693,0
77623,0
50414,0
48579,0
99870,0
46991,0
17773,0
93907,0
63328,0
58278,0
10961,0
62145,0
24963,0
73510,0
37469,0
32737,0
30621,0
78172,0
72823,0
92108,0
78543,0
23608,0
74772,0
52469,0
188208,0
101227,0
588733,0
467484,0
213995,0
227536,0
762594,0
261114,0
863778,0
924207,0
302122,0
468952,0
802393,0
841077,0
769971,0
210592,0
892458,0
204445,0
339444,0
787847,0
184726,0
102780,0
197857,0
776120,0
216705,0
112419,0
111246,0
310983,0
386909,0
401134,0
701074,0
606611,0
348819,0
816165,0
480732,0
622192,0
141324,0
706690,0
803262,0
781589,0
375323,0
770662,0
369210,0
238254,0
581232,0
357827,0
257804,0
163028,0
599235,0
617049,0
294480,0
532406,0
859076,0
846660,0
118146,0
320088,0
614202,0
529354,0
402424,0
248216,0
436596,0
277358,0
322753,0
991491,0
771345,0
708601,1
390222,0
786856,0
574538,0
675718,1
5125347,0
7184896,0
6880424,0
4472514,0
3621895,0
1469378,0
1785369,0
6069248,0
4101909,0
9043111,0
1296087,0
5615213,0
4146814,0
7091895,0
4233910,0
5698109,0
7474919,0
9914752,0
3687688,0
6371500,0
3230421,0
2798419,0
1710201,0
1271525,0
1177534,0
1428542,0
5588146,0
8044662,0
7389011,0
4660034,0
7413823,1
8691857,0
4797370,0
5976079,0
2719181,0
9399205,0
2702777,0
8380948,0
9189137,1
2345336,0
1971166,0
3229133,0
1349344,0
2836310,0
4870361,1
2887454,0
3013637,0
3769157,0
9233189,0
7759751,0
5395113,0
7269895,0
8300105,0
5855322,0
1720722,0
6974770,0
9357904,0
5769160,0
1747166,0
1181510,0
9711207,0
6918378,1
8841996,0
9550227,1
2324255,0
1067343,0
3071282,0
2136449,0
6918634,1
3201307,0
82792964,0
43171838,0
11267959,0
49882315,0
73835998,0
19314827,0
85350208,0
38258881,0
42587296,0
68904402,0
72785331,0
69614560,0
85657853,1
55720005,0
10042599,0
88990389,0
41857060,0
62951319,0
82134918,1
52080944,0
82699491,0
42092154,0
82630786,0
76032864,0
29141045,0
99830660,0
88329378,0
50545296,0
87156787,0
94528667,0
38340878,1
83446580,1
24101649,0
78444536,0
82630688,1
98751337,1
13563875,0
43924183,0
78276046,0
70297150,0
28244901,0
84229402,1
30385862,0
49911714,0
46288815,0
48225434,0
54080417,0
41553899,0
47162090,0
35070745,0
28674077,0
63097513,0
92339243,0
21062837,0
44413333,1
97092721,0
50275476,0
75320541,1
87212986,0
44442584,0
38899929,1
66782444,0
21117515,0
62612379,0
51218522,0
80031053,0
91192384,0
65933104,0
49518564,1
33595526,1
144967591,0
859570264,0
586704172,1
345365768,0
734537417,0
719789557,0
113067461,0
616615719,0
960323775,1
922401477,0
705782148,0
848739247,0
286035841,0
590408401,0
417733059,0
979439082,0
348495301,0
214390423,0
646525024,1
256059328,0
611139933,0
347220393,0
744680830,0
202885322,1
983503315,2
177337689,2
657346545,0
970238983,1
174897361,2
192896463,1
164623446,0
869550805,1
803003808,0
912069724,0
403256551,0
762456967,3
358980160,0
796943570,0
188966959,0
374262648,0
905475802,0
948139912,0
628959733,0
258739449,0
710188490,0
358220719,0
609390832,0
103443274,0
305604806,0
612581011,0
304407135,0
643050087,1
825411182,0
588166228,0
524901847,0
816480511,0
126966714,1
841627568,0
489743887,1
362521814,1
623889431,0
542190811,3
181260604,0
354760817,2
399183510,0
528732655,0
506753978,1
355591829,0
554816745,0
123912943,0
5946191694,0
9438057971,0
9187813732,6
4190625422,0
5021479822,0
5593530995,0
3362892371,0
2858922380,0
7127509548,0
4342109128,0
3170531338,1
9349626361,1
3941337761,0
8087619889,12
3407444995,0
8436912713,11
9288238708,0
8936518484,1
3286608712,1
3866971326,3
3715091130,1
9508237849,0
6983407268,1
8453628538,0
9102349371,1
2982386173,0
8181502691,11
8125884314,2
1498263128,0
6674863078,2
3445802521,0
1076815834,3
1406119058,1
7919618051,1
3256595209,3
5500577004,0
7440009844,1
3893929309,0
2882549930,1
2323422456,0
7586956545,0
3925283336,1
9471395653,2
3315546742,0
7410537977,1
6720093472,0
8184247262,7
5894345844,0
6223162082,8
8293540176,0
2172811387,5
1196589251,0
8102004473,0
6095496477,2
4312585647,2
9954723828,0
4835873660,1
7008649487,0
7226609304,0
8802955184,0
6687740182,6
8042757276,0
2063217033,1
4688019154,1
9997222042,10
5978173405,0
3442288496,0
8616716788,5
4402772036,0
5170670023,0
42860805035,13
75429522036,0
84835347912,0
56076626781,0
38094429664,3
16626123354,2
11711324694,5
24735853611,0
80502397028,1
54226983001,0
90117385857,0
43561534289,0
30145015799,0
90891341037,0
76031611577,0
52622750773,28
57698925611,2
28709107049,7
99622874281,0
19616100015,4
97488293248,3
41349611441,0
64345189462,0
24187553334,1
32830470894,0
67301298493,2
23813762207,2
45545026692,0
52792390830,0
88793648333,0
55034625012,2
39595561049,0
47593870227,9
33658123296,0
54406989856,0
84818506528,1
26994219071,2
33018166492,0
30732002792,6
34498120159,2
39870278238,3
25779095832,1
92434193412,1
69438339694,21
74559997213,1
98796793421,5
65870585506,6
46871908717,0
49063648181,1
32679577461,0
30352649277,13
16314206497,0
17148039395,1
10700751064,0
24192415712,0
15492242382,0
49975016949,0
35737089675,0
40102334525,1
89217054960,0
81991100909,2
12008101328,0
51326697573,1
98554160895,1
43829689967,1
52300993941,0
37112487939,7
92146078651,7
16097601947,5
94091310649,6
626070434715,4
674288792037,14
714054833958,0
251003596879,1
542785161220,18
526797350268,3
153474382244,0
845007018892,1
408755540277,0
770296493295,5
891662057894,7
472005083502,0
985545977140,1
951017650799,0
746806648911,56
245314937809,8
268727475961,6
757903561544,1
182944055045,22
780837008887,1
316874814877,1
444082156907,1
738900216653,1
147549665434,31
649213282807,8
982303834660,26
100507446111,0
943556584533,3
111857540000,0
432805233927,1
578955049978,2
300573280636,5
274528501430,19
383004563318,1
567022000660,1
171586386517,4
206529216220,0
403811242345,6
305157689725,0
811097499135,3
297081190733,0
819219668746,1
277385273113,1
711102990650,0
899738211138,0
955743243989,17
375416527474,10
631290387939,1
756633713847,1
248529736198,41
734208526486,0
935042502187,5
342140610010,0
975096259198,1
163425504912,0
813062308773,0
497051245209,1
937022429779,1
904680579305,0
909374900619,1
715533682655,14
484327943546,55
636395673488,27
720360503542,0
776206657927,99
296962398885,0
695699210778,1
843540663813,0
768029107739,101
936043671638,0
8218728173202,17
9291983098072,0
2218052183959,1
8777098800548,9
4203247686448,1
3885676136700,1
7963825716469,1
4636953101132,0
8517912410780,0
6922077071021,86
3970468988599,24
3777846726986,1
5904544232612,18
9175251049557,199
6873428438818,3
2209969457176,1
6703058139502,1
4430029324647,14
4137758458297,0
6395101626272,5
2155692553950,0
6695278243808,2
5658751369217,65
1924622353914,0
6643199520649,295
2255691682434,67
8733004855900,1
3128230211466,1
8471959865746,0
6034927757164,11
6993073351345,2
8438095041557,5
5346242593388,0
4449907641090,7
1739544615175,0
9364669262148,12
3268863489056,0
5467975947346,37
4616800023078,13
2450763859995,0
1239307429333,30
3601480183827,0
4466491568468,4
2789661733526,1
7770050509164,0
3178099665040,0
2816138802693,3
8205740032278,4
8304133858957,18
5733843480542,1
2879625809516,97
4991517988425,2
8012098966096,3
5294965505695,15
4116794868861,139
6040236321752,0
5712219597820,12
9921616541273,350
8447175925028,0
4677723280496,1
3011803706073,32
5364952843643,3
2963785851420,26
9907487650103,0
9462254420893,0
8073403421544,39
1754235920097,0
8918726553204,1
2657703647543,1
7512364893989,1
23234484312637,1
34464638449133,647
37871089020718,186
22012213591393,38
57419080391016,9
10671228836235,17
11211547031146,0
12202144227277,30
56090443214574,3
30237570141865,8
36829909116220,2
33805008595353,0
67799010279833,4
21993463421616,1
65666737617000,0
59157353549316,74
54145591163327,858
33813251099047,1
73510964905887,27
42568171465691,1
99934286700150,1
97641775752905,491
92340354128230,97
87124585138680,0
39817595838546,59
81972839555854,65
40977073491375,0
75130088866265,12
39811118762986,14
96057476446239,1
52750889186256,0
45660991505095,7
85314135405238,175
30079378221760,0
53206757406211,801
71914665166237,0
84983393213518,723
41566991844136,1
17830950838614,20
18769913335212,2
11582860444472,1
57073069047804,26
96728735305263,1
23606431489144,0
25209839154945,10
17560866055499,130
14437220281521,243
47890035669241,23
43457787231270,143
12478400068023,1
64623810045044,12
76887789161320,32
30011007277322,431
49273789226822,10
33118266771525,1
93612558335886,1
40533123766379,3
51432666820053,1
48281612180137,0
78974689061080,5
13764985352963,1
65471707880211,1
15536905721625,1
38975631069153,12
74489026909033,1
33644914605764,6
20179880469498,5
96952130956687,27
17784630442467,1
73958558579171,2
597933870130078,2
871271286319846,12
800390484151786,184
884025211925328,0
917568376461643,118
182087036485888,97
529871221738361,35
862402201902026,80
309708736782758,6
613907732698133,14
735100235184074,31
264943243406566,204
312286376703464,6
421396415571600,0
262531030377713,156
994214827481731,1
191677631188273,1558
378329359417538,66
612609234628971,14
181745862165519,18
582350229581460,30
899975126835188,716
361457929764538,1498
291599204094755,0
435848306347968,5
944725035553503,2
241852954156403,398
269981841518351,2
370128561200762,0
149195169974227,386
724656457407940,20
869500130856312,560
930978667778754,1
103707578369343,23
136906641430150,1
942059881933885,1
594339195313855,185
812990213756994,145
353727494910385,7
648740295168305,130
954812875433114,2423
960982394039088,1
247884379467715,31
384092773890331,2
246927739977986,80
883702729385325,0
202055077393917,88
945248935890117,4
176353099634837,3
812683148781554,762
283418403307491,11
561314172483194,121
744073615572314,4
670582738131632,712
397663726839642,103
262398912810033,1035
944223030915815,0
563237249265815,5
202610708557796,4
112118149138653,1
472895123482151,1057
967584419445361,3475
893958613875948,28
688991960448834,9
355275605245600,1
356630312382903,2
783119556314734,119
276418488786516,2
306711774005648,5
896972051128652,212
6701257027469961,50
3965143617218802,33
4095460473890572,29
9139897617253610,734
2265425797574059,23
4130702295217183,1018
7668924040920247,50
1301169527058429,2
4020235932973497,7
6717795167672086,1155
4245771556050310,23
8880013753989997,1520
6784523809104962,132
2417079143858948,83
1981038180871125,1
9331833302530246,7591
5284035931831946,413
5966968658779663,83
4007602902769406,89
4991431109288940,75
7541090849959805,1
9622825364098876,5441
1474456987168105,11
5365688925869592,1
4480033574809971,401
1641831342294823,4483
2130940228848711,3
7717042091364822,247
8002614391792726,71
6850645302109511,3468
3958757957882039,19
2029820110395007,3
3589240273494418,4684
5393628256337759,100
3062562060651940,0
2465908953909288,1072
6196847123715977,40
2368015473949333,1
5397022256430329,23
4484726069917244,3701
9735656349890765,2
6890026985159251,1
8151098191321554,104
1963750759396541,6
9537035712485837,33
2217780757659714,3
8113973410268431,116
7861602351859902,8
8809299594203345,161
4696779969141818,29
9561303534099381,866
2561397444787389,114
9550576183924296,738
7590413878012040,199
7707860866792196,38
4365307416093733,56
1046849705254321,3602
5842968728096752,1
9866593591144533,361
1626266704880263,612
3346030117420270,1
9831516122370067,4
6091853366476331,333
4932377141320688,11
9889937266042586,10
4034563452883599,19
4420388858863061,22
5373103932352849,920
8568432857885473,74
1759023467393777,20
89856087888823322,50
36517601226337042,410
99582588993056288,371
86885608532847767,14
83830551440965464,13
76049353441612412,148
16431020550283050,223
17034454281197946,11
58948144711898661,27
16488579468934521,104
12637703258705083,2
24830788220940837,3
26009815927976816,6
95589233453620281,1224
72021813007429702,670
98841726965012487,9
67495915060615788,6
54945756410338367,10
17545657333498905,1051
26821659030294859,17
59102357932868216,9586
48426011191089943,5586
67412955866314242,112
83706358432316239,3
19964644648850292,2
77728318606606555,35
81345968769646342,152
58418376152527739,77
99426121764282400,1
81669459295010469,3797
10362588516317439,5
49096783075773327,14581
42928774030748306,276
47996455250456659,24776
10395818609516620,628
37056932361243273,0
90424576083647870,2213
77608222072916185,3
29336708914443205,53
81144986873367018,4871
41833440642576843,1021
53780962110365723,1
35233078584745477,14
38056191170517687,1019
49573093255012084,1615
58596067150555637,6
32609510273731809,3450
96619552694722214,256
55833553082449740,2
12827648117615402,385
77605998764656653,32
64795097851169256,64
69137303287641060,696
43324678772107711,25
26592229443330552,3675
17230819599538314,4
34202839004621989,75
25102437597852134,3
94651353559781934,97
47760293191730730,0
14513428910925350,1
93840713569702214,24292
12036846087326445,75
83842133255304697,0
16616583270425626,30
56807356055438531,25
13686717218607971,1
70681302347168624,7343
85419716414319102,3033
35777206840132838,126
