Number,Time
12539,0
80221,0
97001,0
31469,0
36097,0
81931,0
65167,0
14723,0
26953,0
15889,0
45943,0
15187,0
50773,0
44371,0
38611,0
41233,0
12197,0
21929,0
15937,0
12239,0
28099,0
17827,0
21377,0
13709,0
12611,0
41491,0
37057,0
17681,0
37057,0
19259,0
12953,0
13099,0
45317,0
43649,0
67531,0
70321,0
92041,0
24103,0
13049,0
51413,0
56149,0
17839,0
26113,0
15559,0
25561,0
77839,0
13553,0
10597,0
31547,0
17239,0
11243,0
12011,1
14533,0
56431,0
96973,0
38611,1
47717,0
16193,0
37717,0
14843,0
28211,1
25307,0
69661,0
53077,0
13921,0
24551,0
40283,0
62011,1
45863,0
17837,0
486103,0
869747,0
854993,1
703699,0
975599,0
517211,0
588827,0
536717,0
376931,0
270631,0
963629,0
310129,1
464437,0
720899,0
538301,0
316031,0
128273,1
118801,0
700429,0
293729,0
531239,0
115963,1
894287,0
568853,0
415717,0
130411,0
127399,0
374903,0
937577,0
879623,1
292079,0
878681,0
116911,0
597929,1
163223,0
143971,0
837059,0
111577,0
135929,0
844999,0
672521,0
374177,0
145759,0
171571,0
560929,0
200771,0
658319,0
235901,0
119677,0
297469,1
514289,0
182579,0
216091,0
716633,0
691787,0
254519,0
503197,0
365851,0
777683,0
480071,0
221393,0
257401,0
370021,0
666461,0
284201,0
674833,0
359563,0
148949,0
443369,0
119227,0
4514327,1
6235289,0
2209253,0
6437071,0
1462367,1
2822903,0
8158867,1
1622059,1
6817991,0
3247297,1
4485797,1
7310063,0
2530981,0
3177971,0
2828083,0
5018149,1
2405737,0
4048927,0
6521789,0
2499997,1
4108063,0
1713043,0
3179983,0
7200983,1
3002401,0
1331063,0
3795703,1
1252399,0
1721521,1
6624487,0
9704759,1
4292479,0
5038807,0
9691267,0
1137991,0
2028319,0
2374319,0
2271497,0
6288937,1
3133639,0
4467613,0
4742027,0
1462049,1
2104987,0
4649941,0
6617701,1
1238599,0
4734217,1
1623161,0
3862147,0
2746717,0
1430749,1
2005879,0
1563901,0
2530271,0
1976857,0
8224631,0
1862621,0
3294553,0
1686779,1
8712133,0
2540687,0
2975123,0
5609423,1
2479849,0
1110019,1
7489949,0
1739147,0
4651301,0
1032847,0
60427511,1
12628757,0
56551699,1
28302257,1
29891399,1
20412253,0
28170073,1
71323717,1
38937617,1
54608303,1
43701809,1
99943111,1
56497411,1
10195673,0
44929343,1
20314841,0
64240513,3
11599717,0
31875269,0
63796211,1
14157749,1
94657163,2
23582939,1
13008929,0
23624039,1
30588521,1
12709883,1
11156441,0
17515919,1
10365419,1
12147959,0
14600507,0
64411601,1
60700411,1
13064971,0
51794647,1
