Number,Time,Reduction
751,2,751
555,0,555
983,1,983
616,0,154
637,0,91
630,0,210
182,0,182
295,0,295
236,0,118
658,0,658
580,0,290
656,0,82
496,0,62
915,0,915
576,0,6
447,1,447
130,0,130
363,0,33
531,0,177
956,0,478
953,0,953
595,0,595
459,0,51
410,0,410
629,0,629
613,0,613
370,0,370
260,0,130
554,0,554
320,0,10
322,0,322
765,0,255
684,1,114
181,0,181
356,0,178
693,0,231
480,0,30
214,0,214
596,0,298
535,0,535
950,0,190
394,0,394
614,0,614
750,0,30
319,0,319
485,0,485
196,0,14
966,0,966
431,0,431
484,0,22
3695,0,3695
6353,2,6353
8485,1,8485
8681,2,8681
3285,0,1095
1426,1,1426
9990,0,1110
3993,0,33
8214,0,222
1379,0,1379
6818,0,6818
4267,0,4267
1630,0,1630
4537,0,4537
9679,3,9679
4336,0,542
1688,0,422
5234,1,5234
3447,0,1149
8127,0,903
4561,1,4561
3792,0,474
6879,1,6879
5935,0,5935
7464,0,1866
9776,0,1222
9811,3,9811
1699,0,1699
1312,0,82
3178,0,3178
5317,0,5317
5191,1,5191
8970,0,8970
7452,0,138
4782,1,4782
8430,0,8430
8997,1,8997
4251,0,4251
3424,0,214
8856,0,246
2854,0,2854
4273,1,4273
9967,2,9967
9791,1,9791
4513,1,4513
5461,0,5461
3882,0,3882
6186,1,6186
2913,0,2913
4650,0,930
44583,0,44583
36140,0,18070
29490,0,29490
67728,0,8466
27349,1,27349
66972,1,33486
55952,0,6994
34663,1,34663
12194,11,12194
13269,1,13269
34380,0,5730
56489,11,56489
82198,0,82198
64133,0,64133
17991,0,5997
34273,5,34273
25151,1,25151
85996,3,42998
27869,0,899
13480,0,3370
24661,0,24661
29646,0,366
62540,0,31270
79391,1,79391
81864,0,2274
78840,0,2190
66396,0,33198
28628,0,14314
63941,0,63941
54275,0,10855
97432,0,24358
79756,0,39878
52729,0,52729
72236,3,36118
49884,1,24942
91983,5,91983
66972,0,33486
81595,1,81595
39881,0,39881
34180,1,17090
32390,0,32390
23737,0,23737
18120,0,4530
12836,0,6418
73121,4,73121
98682,1,98682
25166,0,25166
99598,1,99598
93145,0,93145
44654,0,44654
953255,0,953255
961810,5,961810
618650,1,123730
478597,4,478597
776663,0,776663
299263,1,299263
497839,28,497839
894211,83,894211
348173,3,348173
291197,0,291197
879369,16,879369
527164,1,263582
116620,0,1190
598519,0,35207
339115,0,339115
949534,0,949534
185280,0,5790
124344,0,10362
895254,0,895254
156518,4,156518
267165,0,29685
749620,0,374810
152882,4,152882
675214,19,675214
122278,0,122278
848389,0,848389
998243,111,998243
611678,17,611678
676946,18,676946
692895,1,692895
363190,2,363190
774842,0,774842
388847,0,388847
734835,3,734835
385715,1,385715
358427,19,358427
348733,0,49819
482318,0,482318
857113,0,857113
354910,2,354910
831347,4,831347
365795,0,365795
548242,15,548242
185346,0,61782
566776,0,141694
966118,0,966118
597376,0,9334
564277,4,564277
842181,0,20541
591655,0,591655
8285273,0,8285273
4521641,1,4521641
9591982,10,9591982
3439743,147,3439743
8112111,0,8112111
3837836,0,1918918
6331541,1,6331541
2627246,100,2627246
2198832,0,274854
8839577,17,8839577
7761732,0,3880866
8652580,0,4326290
6574739,355,6574739
4711816,30,1177954
8131422,0,8131422
7882750,2,315310
4459847,0,4459847
1752875,0,70115
1712259,2,63417
4364314,0,4364314
8156180,0,4078090
2897345,1,263395
4978249,0,4978249
7378169,2,7378169
2364474,0,2364474
2436851,0,2436851
1457561,11,1457561
3153463,164,3153463
5997480,0,1499370
2353967,0,2353967
6568497,0,2189499
5458449,3,5458449
2912814,0,323646
8583935,129,8583935
8399319,4,8399319
2158536,6,539634
4365494,45,4365494
2339792,0,292474
2989918,0,2989918
5915663,0,5915663
1735810,1,1735810
6886418,0,6886418
5662849,322,5662849
2181120,0,2130
7889550,0,1577910
5157749,0,5157749
3915662,106,3915662
3469544,0,867386
9646315,0,419405
7665872,1,958234
17729629,955,17729629
15213623,0,800717
77234257,37,77234257
77596173,471,25865391
83219672,566,20804918
31714733,5,31714733
36132481,26,36132481
93343660,11,46671830
89136317,0,89136317
63254748,1,31627374
31728292,1,15864146
16425774,0,1825086
24391267,1321,24391267
19522867,0,19522867
13476218,52,13476218
64519330,344,64519330
69687430,2,69687430
79471962,80,8830218
15331619,815,15331619
15453420,0,7726710
26761630,0,26761630
51839415,63,17279805
33218460,0,5536410
77754474,0,3702594
37138927,0,37138927
74565987,1334,74565987
89467820,0,44733910
53867745,2,17955915
38381949,227,12793983
31867730,0,31867730
63154288,208,7894286
28327331,1,28327331
89385213,7,89385213
25159575,0,5031915
65942633,154,65942633
23417729,5,23417729
57727167,17,57727167
87792682,78,87792682
62278389,43,2306607
31734814,854,31734814
21316785,10,21316785
59127765,0,59127765
88994641,3,88994641
44386773,0,44386773
93347582,0,93347582
18118655,196,18118655
54175671,30,18058557
97995999,1735,97995999
79593691,1,79593691
13683259,733,13683259
