Number,Time,isPrime
793,1,false
884,1,false
911,0,true
583,1,false
472,0,false
345,0,false
766,0,false
384,1,false
326,0,false
986,0,false
529,0,false
897,0,false
644,1,false
258,0,false
586,0,false
992,0,false
286,0,false
871,0,false
722,0,false
458,0,false
337,0,true
723,0,false
141,0,false
465,0,false
914,1,false
469,0,false
324,0,false
489,0,false
158,0,false
233,0,true
144,1,false
625,0,false
157,0,true
129,0,false
587,0,true
146,0,false
780,0,false
356,0,false
759,0,false
735,0,false
242,0,false
720,0,false
593,1,true
861,0,false
770,1,false
154,0,false
447,0,false
935,0,false
567,0,false
970,1,false
2736,0,false
6217,2,true
5257,1,false
5483,1,true
2759,0,false
7322,2,false
4252,1,false
2456,0,false
9738,2,false
8124,1,false
5888,1,false
2172,1,false
7491,1,false
1279,0,true
5240,1,false
7347,1,false
1373,0,true
7418,2,false
4235,0,false
9237,1,false
1269,0,false
1578,0,false
6323,1,true
5157,1,false
4553,1,false
4957,1,true
1552,0,false
7428,2,false
9988,1,false
8737,2,true
3837,0,false
1155,1,false
3127,0,false
7446,1,false
4796,1,false
5268,1,false
8348,1,false
5394,1,false
6839,2,false
5484,0,false
9341,2,true
3640,1,false
2551,0,true
6151,1,true
4219,1,true
6927,1,false
3610,1,false
6946,1,false
9174,2,false
8134,1,false
96547,5,false
21451,1,false
53718,3,false
94180,4,false
46987,3,false
65498,4,false
13278,0,false
51631,2,true
51565,6,false
95132,10,false
14950,0,false
44431,3,false
38649,1,false
43427,3,true
76581,4,false
69281,4,false
92665,19,false
54343,3,false
53441,3,true
44653,3,false
34693,2,true
47934,7,false
28562,6,false
37682,9,false
55710,14,false
34720,7,false
59373,12,false
68929,14,false
99928,20,false
13793,1,false
61813,4,true
67147,3,false
22589,2,false
17614,1,false
14720,1,false
17870,1,false
19199,1,false
44647,2,true
12112,1,false
59795,3,false
21215,1,false
87973,5,true
96325,6,false
27626,2,false
15382,3,false
22792,1,false
61230,3,false
67571,4,false
87823,4,false
52710,2,false
914969,238,false
357638,21,false
367612,21,false
614153,32,true
858988,55,false
698862,182,false
948415,100,false
433981,22,true
695963,34,false
189513,9,false
972599,47,true
258816,13,false
683146,36,false
397416,20,false
418689,20,false
587696,29,false
221262,11,false
882966,43,false
718423,35,true
728888,34,false
491710,23,false
881278,44,false
176114,9,false
889576,43,false
742273,35,false
692610,34,false
513897,25,false
743432,37,false
865456,43,false
593378,28,false
673335,34,false
161889,7,false
227218,11,false
254190,12,false
312840,15,false
194611,11,false
767449,38,false
296611,17,false
725653,36,true
586760,30,false
197122,14,false
559314,28,false
961219,51,false
224847,11,false
191616,10,false
785211,40,false
128566,6,false
796377,38,false
124479,5,false
473680,24,false
9824540,482,false
9257183,457,false
8674530,413,false
1127340,55,false
7253856,360,false
1389862,65,false
4864828,242,false
9672454,465,false
9445290,461,false
7182112,342,false
5782176,283,false
1576253,77,false
5123471,253,true
1246685,60,false
5487897,259,false
2684763,131,false
5481669,273,false
4586781,220,false
6713261,325,true
2413296,119,false
6853526,342,false
4128478,203,false
4373834,211,false
1768622,81,false
7743428,376,false
4312521,209,false
6412657,307,true
8597435,434,false
6715843,327,false
9497565,450,false
9229117,456,false
2931297,144,false
3218498,154,false
8724539,423,false
4293828,209,false
1354882,65,false
8973156,424,false
1627853,83,true
8837563,441,false
4738212,227,false
3959686,180,false
7446941,369,false
7613258,376,false
9745758,463,false
5371365,267,false
7785669,371,false
6887911,323,false
8779885,435,false
4577326,218,false
6547932,313,false
17194780,840,false
78581340,3788,false
63631360,3053,false
77839544,3800,false
32415135,1651,false
86376622,4330,false
73114139,3668,false
56754479,2850,false
85135685,4269,false
21683352,1090,false
33756390,1692,false
82449246,4065,false
92226559,4623,false
34347742,1652,false
62366818,3023,false
32597154,1571,false
92319888,4457,false
24197384,1169,false
99392969,4738,false
28327725,1373,false
32168687,1539,false
22676551,1100,false
11289286,542,false
96695489,4650,false
53345581,2560,false
26871758,1304,false
62941714,3066,false
88653254,4251,false
34867665,1666,false
45855347,2217,false
43186213,2088,false
24538950,1202,false
46349626,2257,false
98934419,4766,false
31667396,1574,false
33497566,1688,false
37972619,1898,false
76925166,3872,false
61379374,3085,false
83818883,4261,false
62928494,3147,false
35877425,1807,false
37613676,1953,false
31883471,1577,true
48513142,2345,false
58814530,2830,false
54562646,2658,false
42815513,2052,false
82228193,3968,false
76515238,3674,false
192863759,9307,false
969577572,47360,false
297132192,14695,false
169291973,8157,false
526444774,25488,false
881636270,43712,false
975442156,46967,false
784313970,38645,false
878177475,42398,false
855335160,41983,false
112823622,5473,false
675992978,32517,false
136638215,6546,false
425548441,21094,false
455584754,21857,false
952843184,45056,false
379428551,19107,false
445773130,21255,false
684624885,32529,false
664791992,32742,false
183651455,9113,false
118526428,5736,false
331285395,15740,false
335878344,15855,false
914499849,44484,false
766635825,36438,false
198785251,9464,false
389484733,19559,false
969676830,45938,false
313832937,14835,false
951732363,46384,false
245339638,11619,false
222177934,10506,false
865968743,42224,false
776941710,36681,false
722165424,35291,false
232552421,11025,false
964955367,45566,false
712841754,34966,false
139165412,6687,false
875871142,41435,false
227311372,11227,false
829863912,39988,false
977758725,47709,false
475273367,22835,false
219486455,10394,false
599148729,28301,false
119834127,5714,false
173192837,8724,true
294565413,14635,false
