Number,Time,isPrime
157,0,true
173,0,true
149,0,true
227,0,true
443,0,true
241,0,true
107,0,true
181,0,true
113,0,true
367,0,true
919,0,true
227,0,true
991,0,true
233,0,true
113,0,true
991,0,true
101,0,true
137,0,true
229,0,true
653,0,true
241,0,true
257,0,true
197,0,true
983,0,true
173,0,true
487,0,true
113,0,true
577,0,true
113,0,true
311,0,true
853,0,true
907,1,true
271,0,true
337,0,true
757,0,true
197,0,true
227,0,true
401,0,true
181,0,true
191,1,true
113,0,true
449,0,true
599,0,true
233,0,true
383,0,true
557,0,true
277,0,true
139,0,true
997,0,true
433,0,true
1979,0,true
6151,0,true
1229,0,true
4349,0,true
4091,0,true
3413,0,true
4483,0,true
7079,0,true
7321,0,true
1553,0,true
8147,0,true
2797,0,true
2543,0,true
3089,0,true
8147,0,true
7687,0,true
4447,0,true
2903,0,true
5189,0,true
1549,0,true
1787,1,true
1823,0,true
6151,0,true
1151,0,true
4987,1,true
4937,0,true
1619,1,true
4391,1,true
1277,0,true
6823,0,true
1087,0,true
2473,0,true
6569,0,true
5923,1,true
9829,1,true
7411,0,true
3457,0,true
2963,0,true
2293,0,true
3923,0,true
7297,1,true
2551,0,true
1009,0,true
2621,0,true
2267,0,true
4943,0,true
2341,0,true
7669,1,true
1669,0,true
6373,1,true
28309,2,true
83009,4,true
13523,1,true
15077,0,true
13999,1,true
48413,2,true
97151,8,true
40193,2,true
53401,2,true
97001,8,true
74713,3,true
26821,2,true
16477,1,true
79901,3,true
47407,5,true
27211,1,true
93479,5,true
97771,5,true
37879,2,true
36383,1,true
15647,1,true
19213,0,true
11779,1,true
51241,2,true
29453,1,true
14699,1,true
43117,3,true
76597,4,true
42443,2,true
21739,1,true
68897,3,true
10429,0,true
16759,1,true
72547,3,true
46327,2,true
14563,1,true
19211,1,true
51307,2,true
47843,2,true
55639,4,true
26759,1,true
52769,2,true
11981,0,true
61631,3,true
11987,0,true
64679,3,true
41047,1,true
13163,0,true
31699,1,true
42727,2,true
776317,36,true
822727,41,true
241169,12,true
504353,23,true
128119,6,true
186859,8,true
284357,12,true
343649,15,true
210467,10,true
526051,24,true
727451,33,true
411013,22,true
263573,12,true
825701,38,true
131501,7,true
200579,10,true
240197,11,true
113719,6,true
439787,25,true
258631,13,true
202693,10,true
232861,11,true
148763,7,true
161059,8,true
104987,5,true
119839,5,true
121493,6,true
109793,5,true
135463,6,true
305401,19,true
664121,32,true
263513,13,true
101869,5,true
435733,21,true
225133,14,true
491003,24,true
221729,11,true
456607,23,true
114077,5,true
152041,8,true
737507,36,true
270833,13,true
694079,35,true
808439,38,true
102293,14,true
589109,27,true
251831,90,true
270461,13,true
151787,7,true
850879,44,true
9447499,496,true
1433947,70,true
3858367,195,true
6918467,343,true
8026913,414,true
2016461,105,true
7696127,357,true
1809221,82,true
3145189,146,true
2488597,116,true
2298977,115,true
2371709,108,true
4708129,215,true
4341083,208,true
5557247,258,true
7931149,382,true
2029403,95,true
3021883,142,true
3655541,167,true
1096031,54,true
1875179,83,true
5326081,248,true
2096111,99,true
2785091,130,true
5704999,272,true
4459141,209,true
5318237,254,true
3027179,138,true
5085491,244,true
3066293,149,true
3901531,211,true
4531199,215,true
3009151,138,true
4227109,194,true
4613971,214,true
3778897,172,true
8110897,373,true
5638313,265,true
2855557,130,true
9355873,440,true
1162481,53,true
3552463,161,true
1114807,50,true
2600417,116,true
1030889,47,true
2311237,113,true
1303199,59,true
4811647,234,true
9313259,437,true
4277971,201,true
47331391,2361,true
47226073,2350,true
10114721,502,true
58155761,2911,true
10996207,547,true
12305221,618,true
11715889,589,true
26529317,1327,true
17055427,852,true
62116709,3098,true
10791127,537,true
56617817,2614,true
27963557,1285,true
53103289,2446,true
96204379,4469,true
20562403,969,true
91850999,4278,true
16000207,739,true
13274791,634,true
62459647,2880,true
61492237,2835,true
52924951,2434,true
73034833,3372,true
63935941,2951,true
65201491,3012,true
10424569,494,true
23593379,1095,true
49639979,2315,true
17402579,808,true
25616567,1175,true
12374359,562,true
40947317,1891,true
67004603,3335,true
30664159,1534,true
22287203,1111,true
88237529,4415,true
19225897,955,true
49263649,2447,true
12505763,621,true
25987993,1238,true
38425427,1772,true
24983941,1177,true
20399177,938,true
27917509,1295,true
45488291,2122,true
11549347,534,true
26443097,1233,true
18498829,868,true
14176411,658,true
37716227,1757,true
151461689,7222,true
363493751,16877,true
191075303,8849,true
260648393,12783,true
567390697,27064,true
196850791,9134,true
170932523,7924,true
925611061,44425,true
429943099,19969,true
256282693,11839,true
976638739,46904,true
106679609,5379,true
972511721,45067,true
174956039,8148,true
207997549,10096,true
350193583,17329,true
224302171,10381,true
157399997,7243,true
150592333,6975,true
406578541,18768,true
441067171,21275,true
867337661,40825,true
887332597,42167,true
421990651,19969,true
239748461,11079,true
277058387,12775,true
652606621,31094,true
877373831,41270,true
913706047,43410,true
233013097,11190,true
684564539,31845,true
202089631,9324,true
124786709,5747,true
192426007,9335,true
113696633,5671,true
158874341,7893,true
520815769,25040,true
369307109,17143,true
195544043,9084,true
235774573,11344,true
238080569,11897,true
351294863,16374,true
125187901,5845,true
111826699,5196,true
162155471,7515,true
121585559,5641,true
236454593,10975,true
121899419,5687,true
141113977,7038,true
235762897,11719,true
