Number,Time
3665784,437
360139,25
5530281,467
399800,24
5488942,339
4818883,286
6261097,369
6289769,375
1480386,86
3909121,242
3926088,232
4534355,269
6635196,402
4231540,255
6856626,408
7060542,426
391964,24
5083106,298
192021,11
3498762,208
1353548,84
3768693,232
7444987,445
6775913,414
7243694,438
4827804,287
3687864,221
4035286,247
2304240,137
6198635,366
4192272,252
6244948,376
683852,40
6700859,402
1511972,92
830296,51
9652484,604
3820124,234
6099523,385
324887,22
7443359,468
5959504,378
3385526,226
5807623,384
1125539,75
3765885,250
6067982,417
8729304,552
6143591,412
3033698,203
