Number,Time,isPrime
3,993,true
6779,1008,true
63031,1011,true
734743,993,true
109253,996,true
15554821,991,true
508408501,1006,true
5241711341,1056,true
62630546269,1092,true
504561285791,1127,true
4274177594129,1135,true
87826629358493,1218,true
722243422008271,1181,true
1297523765046007,1224,true
23638922256457699,1324,true
239,1038,true
4679,1018,true
43783,1040,true
418763,1026,true
2780053,1028,true
3196913,1021,true
950009857,1022,true
5651791571,1057,true
59314285579,1069,true
56673406903,1095,true
120997572979,1089,true
23708604825881,1155,true
317884507020149,1230,true
2209187632044859,1233,true
23297938066259209,1279,true
101,1022,true
6247,1009,true
22943,1010,true
700471,1016,true
4074073,1051,true
55104209,1019,true
41885167,999,true
3869599121,1016,true
69670622573,1041,true
74273738017,1047,true
9543555762929,1100,true
99720947285809,1160,true
237191640304699,1182,true
4735672447473059,1193,true
13359678888978847,1286,true
263,1018,true
6871,1017,true
9643,1019,true
368939,1007,true
1222829,1027,true
27767,1013,true
358636903,1025,true
3367220579,1034,true
56616527789,1068,true
215348391239,1114,true
6403969369121,1106,true
16313053085113,1171,true
252436266688453,1176,true
2166360677266091,1238,true
39871960802845903,1312,true
179,1001,true
6449,1021,true
26261,1023,true
884651,1033,true
9107611,1052,true
49673717,1030,true
886997773,1038,true
2508480439,1033,true
46205772017,1114,true
496966609063,1087,true
258854003519,1085,true
21647168359283,1163,true
672807141082799,1214,true
4947724377676831,1229,true
969258251814599,1214,true
709,998,true
5113,1005,true
25439,1009,true
652903,1008,true
3116521,1024,true
23269849,1024,true
483346667,1082,true
3175288997,1032,true
15007232873,1030,true
149730161983,1212,true
6811456561621,1065,true
65633373702541,1141,true
614123153012063,1159,true
463840119102677,1172,true
72864941273174021,1214,true
271,950,true
3539,988,true
59239,985,true
392629,953,true
9320023,1016,true
89704457,1108,true
416073517,1082,true
2743157881,1091,true
3065209229,925,true
573538034383,995,true
5640052941709,990,true
66616382457263,1012,true
868393679262323,1045,true
2036829831417859,1058,true
84576435857283653,1140,true
617,886,true
5569,878,true
44201,885,true
118033,917,true
8535403,912,true
22224617,900,true
933227833,937,true
7339325393,914,true
39557854909,945,true
203662844849,949,true
2583691493947,989,true
25899626773507,1022,true
800881183809961,1043,true
2776596976113049,1077,true
50295843411049487,1130,true
521,887,true
1669,886,true
66337,879,true
222643,885,true
9794371,876,true
36801581,888,true
178635179,883,true
4364532373,915,true
36736320113,944,true
426975455603,952,true
4436454007627,966,true
77317466388347,1012,true
823931536791991,1059,true
7487692106848663,1079,true
67483468981355069,1131,true
461,877,true
5393,884,true
631,882,true
540041,884,true
65983,883,true
91998139,895,true
5331779,888,true
2638714739,942,true
84777268441,981,true
592644219799,969,true
8455470497743,988,true
50884779828503,1015,true
219206833966487,1036,true
7214227068225781,1079,true
31123765440277933,1139,true
