Number,Time,isPrime
928,1,false
814,0,false
632,0,false
221,0,false
478,0,false
429,0,false
575,0,false
977,0,true
568,0,false
918,0,false
561,0,false
865,0,false
454,0,false
983,0,true
922,0,false
774,0,false
322,1,false
361,0,false
777,0,false
375,0,false
585,0,false
896,0,false
926,0,false
741,0,false
588,0,false
619,0,true
539,0,false
423,0,false
467,0,true
716,0,false
555,0,false
363,0,false
556,0,false
696,0,false
772,0,false
218,0,false
287,1,false
741,0,false
788,0,false
798,0,false
8235,0,false
4847,0,false
9434,0,false
3225,1,false
9771,0,false
8727,0,false
8454,0,false
8944,0,false
4145,0,false
7986,0,false
6974,0,false
4248,0,false
5493,0,false
2534,0,false
1553,0,true
3271,0,true
7423,0,false
6832,0,false
4439,0,false
9134,0,false
5896,0,false
5626,0,false
9971,0,false
8267,0,false
7842,0,false
6425,0,false
7844,0,false
5248,0,false
4611,0,false
3511,0,true
9133,0,true
1135,0,false
7294,0,false
2852,0,false
5874,0,false
6557,0,false
1769,0,false
4492,0,false
4343,0,false
7516,0,false
25917,0,false
32995,0,false
62427,0,false
82326,0,false
14788,0,false
17651,0,false
61247,0,false
32827,0,false
56258,0,false
24246,0,false
82838,1,false
26826,0,false
64661,0,true
41436,0,false
74336,0,false
32672,0,false
32764,0,false
37385,0,false
98589,0,false
56468,0,false
64294,1,false
24463,0,false
71598,0,false
32153,0,false
11133,0,false
86699,0,false
45936,0,false
49348,0,false
93148,0,false
32427,0,false
19454,0,false
44973,0,false
25767,0,false
68566,0,false
69121,0,false
84552,0,false
61562,0,false
74187,0,false
99434,0,false
63467,0,true
636983,0,true
884436,0,false
281167,1,true
891835,0,false
616218,0,false
828541,0,false
898782,0,false
364956,0,false
238857,0,false
677837,0,false
266236,0,false
641169,0,false
938694,0,false
146326,0,false
671544,0,false
129144,0,false
871982,0,false
358591,0,true
596648,0,false
394142,0,false
779862,0,false
149882,0,false
952555,0,false
632881,0,true
171799,0,true
342976,0,false
327568,0,false
217185,0,false
593481,0,false
394836,0,false
258595,0,false
157784,0,false
673241,0,true
619661,0,false
756457,0,false
154396,0,false
467981,0,false
394729,0,true
457675,0,false
617162,0,false
9331818,0,false
7867482,0,false
5395725,0,false
7427611,1,true
4665279,0,false
2689616,0,false
2959866,0,false
6162622,0,false
3586376,0,false
1993447,0,false
2832294,0,false
7112456,0,false
8752493,3,false
7944967,0,false
9284946,0,false
7999665,0,false
4941465,0,false
6711499,0,false
8565884,0,false
8153651,0,false
9588481,0,false
3966867,0,false
1545648,0,false
6989136,0,false
1479836,0,false
5325419,0,false
3327439,1,false
5541355,0,false
9273596,0,false
9255933,0,false
2688414,0,false
2732678,0,false
5334723,0,false
4274232,0,false
9685619,0,false
5371844,0,false
8634218,0,false
7731711,0,false
8877352,0,false
4199123,0,false
63973249,1,false
36522645,0,false
77236987,0,false
88654865,0,false
23547197,0,false
97724593,0,false
39913254,0,false
91221426,0,false
87163615,0,false
97886642,0,false
54486339,0,false
31265259,0,false
92393516,0,false
22916187,0,false
95287319,2,true
79574164,0,false
14941259,1,true
37521296,0,false
16571649,0,false
56513494,0,false
45156522,0,false
49147369,0,false
63969711,0,false
81474974,0,false
73129317,0,false
23351548,0,false
73116138,0,false
82368318,0,false
93281138,0,false
75958967,0,false
19979477,0,false
96751781,0,false
42249314,0,false
72943539,0,false
16877257,0,false
35685934,0,false
69821887,0,false
46153268,0,false
75311968,0,false
23376197,0,false
134981512,0,false
435177819,0,false
631612197,0,false
139382773,0,false
643919847,0,false
741921641,4,true
542861357,0,false
857458295,0,false
985522728,0,false
919341521,0,false
968325233,2,true
698274655,0,false
624367825,0,false
632576494,0,false
467931524,0,false
781651972,0,false
843254958,0,false
118547751,0,false
742483765,0,false
259241812,0,false
133962781,1,true
355979877,0,false
128778332,0,false
623671364,0,false
298871487,0,false
576513545,0,false
315231154,0,false
395269624,0,false
674589683,2,true
537412499,0,false
323711567,0,false
542968444,0,false
468695953,0,false
957982856,0,false
476668623,0,false
911326781,2,false
896989795,0,false
722335241,0,false
691841335,0,false
625188959,0,false
