Number,Time,Reduction
449,2,449
859,1,859
113,0,113
597,0,597
858,0,858
665,0,665
939,0,939
213,0,213
295,0,295
227,1,227
139,0,139
936,0,312
166,0,166
223,0,223
922,1,922
851,0,851
425,0,85
252,0,252
559,0,559
769,0,769
749,0,749
118,0,118
172,0,86
544,0,136
329,0,329
127,0,127
256,0,64
832,0,832
219,0,219
161,0,161
111,0,111
717,0,717
377,0,377
921,0,921
734,0,734
836,0,418
852,0,426
671,1,671
629,0,629
573,0,573
7911,0,7911
1582,0,1582
3443,0,3443
5976,0,1992
8551,0,8551
5595,0,5595
6548,1,3274
3456,0,1152
3565,0,3565
5912,0,5912
9799,0,9799
4123,0,4123
3888,0,1296
6715,1,6715
2616,0,2616
8565,0,8565
5687,0,517
7932,1,3966
1778,0,1778
5971,0,5971
4459,0,4459
8881,0,8881
2361,1,2361
5271,0,5271
7792,0,3896
7526,0,7526
4944,0,2472
8251,0,8251
4424,0,4424
1522,1,1522
7542,0,2514
4956,0,2478
8593,0,8593
3748,0,1874
5958,1,1986
2964,0,1482
3591,0,3591
6531,0,6531
2629,0,2629
5482,1,5482
58936,0,58936
59613,0,59613
98765,7,98765
86177,0,86177
72349,0,72349
15317,0,901
42737,8,42737
36647,1,36647
68798,0,68798
61163,1,61163
96883,0,96883
47976,0,47976
12449,0,12449
57368,0,57368
92176,0,46088
57887,1,57887
11762,0,11762
67849,1,67849
59679,1,19893
74932,0,37466
67687,0,67687
38574,0,12858
24485,1,24485
72734,0,72734
45216,0,22608
52287,0,52287
13482,0,4494
26499,0,2409
31464,4,10488
41583,0,41583
86581,0,86581
91974,3,91974
34639,0,34639
48134,0,48134
36677,5,36677
34779,3,34779
54486,0,54486
84674,6,84674
63772,0,31886
59456,1,59456
725514,14,725514
681139,0,681139
562857,0,562857
874146,0,874146
541467,0,180489
656963,1,656963
681574,19,681574
229121,0,229121
394619,26,394619
895257,1,298419
298695,1,298695
352546,1,352546
454717,0,454717
764856,1,764856
967724,16,483862
181875,0,36375
368625,0,368625
289958,0,289958
828696,0,828696
713628,0,713628
889166,1,889166
856961,1,122423
933412,30,466706
415635,0,37785
849591,16,283197
253365,0,253365
155152,1,77576
268973,22,268973
137322,0,137322
555548,1,277774
934158,10,934158
975374,0,975374
548141,3,548141
262193,17,262193
334314,0,334314
855223,0,855223
488482,0,488482
585818,16,585818
498819,10,498819
468292,0,234146
4575241,74,4575241
6838472,4,6838472
3866988,41,1933494
9977315,1,9977315
8142631,71,8142631
8276828,17,4138414
7267331,2,7267331
7856336,0,3928168
5317837,67,5317837
6444638,1,6444638
7512536,11,7512536
1635327,1,545109
4865165,325,4865165
9795961,0,9795961
9458399,2,9458399
1949969,0,1949969
4355898,54,4355898
9428866,0,9428866
5992228,1,2996114
9599382,2,3199794
8752787,25,8752787
3353638,2,3353638
4928459,1,4928459
5836482,0,5836482
1724351,96,1724351
3833938,2,3833938
5297378,1,5297378
5989417,0,855631
9623839,0,9623839
4748745,17,4748745
2254768,0,1127384
8326324,120,4163162
8469696,0,8469696
9718531,0,262663
1242659,0,1242659
7586611,6,7586611
7314825,1,1462965
5752186,14,5752186
6161719,18,6161719
9966258,31,3322086
51644927,2888,51644927
73351346,1,73351346
63264516,0,31632258
92175762,3,92175762
12262412,176,6131206
73738364,1,36869182
18895764,87,9447882
66276858,613,66276858
73386288,0,73386288
97591627,0,97591627
96511867,60,96511867
17685576,1,5895192
59143476,0,29571738
47688273,293,15896091
98937666,102,98937666
13541565,50,13541565
16299777,2,16299777
85243629,1582,85243629
93141929,315,93141929
45451529,12,45451529
54341682,0,54341682
15428288,13,15428288
99371835,4,33123945
24688971,160,8229657
31599342,0,31599342
76171527,1,25390509
23956442,0,23956442
89714681,0,89714681
28917614,72,28917614
93546781,5241,93546781
72337198,64,72337198
96758817,1820,96758817
64852386,0,64852386
39883948,42,19941974
36293921,28,36293921
12938957,1,12938957
87673936,7,87673936
31645979,39,31645979
96429129,1,96429129
56377241,5,56377241
375631716,1779,187815858
187368159,11,187368159
859422377,6,859422377
299228612,1,149614306
755825964,1,377912982
188566966,748,188566966
459976573,0,65710939
471312262,1,471312262
619327119,0,619327119
667777197,130,667777197
277912782,0,30879198
456347597,25957,456347597
253864312,2,253864312
159844321,0,22834903
435283115,10,435283115
885842148,2,442921074
221198958,0,221198958
329639628,0,164819814
667939758,3,667939758
476536992,0,119134248
523812925,0,104762585
313221875,0,12528875
656653289,1,656653289
573694828,1149,286847414
489215293,3935,489215293
623411992,626,623411992
165465668,55,82732834
246253453,135,246253453
497993752,0,497993752
418545619,0,418545619
857682772,11,428841386
247273638,0,247273638
738281898,41,738281898
654499248,61,327249624
787346765,8905,787346765
536131894,15055,536131894
233155188,0,233155188
474731331,1,474731331
193569342,18,193569342
883588969,49926,883588969
